jammer,jsr_db,mode,trials,interface_pass,target_erased_count,delta_sinr_mean_db,delta_sinr_std_db,delta_sinr_ci95_db,target_only_change_mean_db,target_only_change_min_db,detected_after_mean,peak_error_after_mean,false_peak_after_mean,normalized_output_difference_mean,filter_coefficient_difference_mean,runtime_mean_ms,memory_mean_bytes
NoiseConvolutionJamming,10.0,offset_+2,100,100,0,22.853696503612923,1.977666357368108,0.3876226060441491,-1.1851414314792919,-1.1886192315169712,1.0,2.0,291.36,0.3799393489827018,1.6055776775241537,0.018969968077726662,400000000.0
NoiseConvolutionJamming,10.0,offset_+32,100,100,0,-8.24497568321309,1.9889439036951038,0.38983300512424035,-60.84436354784307,-60.90086154434165,0.0,32.0,288.37,1.052990276351073,1.4186997961763188,0.018917470006272197,400000000.0
NoiseConvolutionJamming,10.0,offset_+4,100,100,0,22.697360449558555,1.9759109766290484,0.38727855141929346,-4.861876158740904,-4.868838735280628,1.0,4.0,290.73,0.6984813892164599,1.7946138505742095,0.018934960244223475,400000000.0
NoiseConvolutionJamming,10.0,offset_+8,100,100,0,21.795499766401498,1.9761527222246054,0.38732593355602263,-24.75619952191072,-24.77015269320042,1.0,8.0,290.4,1.0358573680329508,1.3605278810864265,0.018958718865178525,400000000.0
NoiseConvolutionJamming,10.0,offset_-1,100,100,0,22.860920041992443,1.979679845048447,0.38801724962949563,-0.24289127150652978,-0.30359237476763823,1.0,0.8,291.85,0.15679249931821557,1.4209204231429033,0.018842463032342494,400000000.0
NoiseConvolutionJamming,10.0,offset_-16,100,100,0,14.20253232405108,3.4262173409726677,0.6715385988306428,-22.823792197273615,-28.529718531976496,0.2,12.8,293.35,0.8260995057365739,1.0386805062952917,0.019049940165132284,400000000.0
NoiseConvolutionJamming,10.0,offset_-2,100,100,0,22.857820026928472,1.9786753398656038,0.3878203666136583,-0.9509127569059964,-1.1886192315169712,1.0,1.6,291.34,0.3026128745424934,1.2845618062252533,0.01886206038761884,400000000.0
NoiseConvolutionJamming,10.0,offset_-32,100,100,0,-2.0246801168325343,11.330077575831005,2.220695204862877,-48.72070660716574,-60.90086154434164,0.2,25.6,295.97,0.8538586594810266,1.13676863010912,0.019286671304143965,400000000.0
NoiseConvolutionJamming,10.0,offset_-4,100,100,0,22.7379653030183,1.9403989796731667,0.3803182000159407,-3.8950883599169206,-4.868838735280628,1.0,3.2,291.47,0.5531208618120635,1.4358694250306088,0.018941648886539042,400000000.0
NoiseConvolutionJamming,10.0,offset_-8,100,100,0,22.020634620603836,1.7375334139944074,0.34055654914290384,-19.816139526252744,-24.770152693200416,1.0,6.4,292.47,0.8163466414147053,1.0888930158707242,0.018984576454386115,400000000.0
NoiseConvolutionJamming,10.0,random,100,100,64,-189.7836027984194,147.13444007421268,32.44567895405627,-93.3358810971286,-137.90359686079853,0.19,1766.3,166.17,0.995741970922556,1.3885386605065815,0.018963301554322243,400000000.0
NoiseConvolutionJamming,10.0,true,100,100,0,22.85871065029718,1.9789638572875035,0.38787691602835067,-8.685846209842596e-05,-8.685846209919741e-05,1.0,0.0,292.13,0.0,0.0,0.02068171219434589,400000000.0
NoiseConvolutionJamming,20.0,fixed_0,100,100,60,-1.6133972096096165,29.186772391209,9.045074473903664,-50.37409188338958,-100.74809690831707,0.2,2300.0,250.38,0.9297419440175648,1.1317870736236322,0.01869836007244885,400000000.0
NoiseConvolutionJamming,20.0,missing,100,100,60,-1.6133972096096165,29.186772391209,9.045074473903664,-50.37409188338958,-100.74809690831707,0.2,2300.0,250.38,0.9297419440175648,1.1317870736236322,0.01873917004559189,400000000.0
NoiseConvolutionJamming,20.0,offset_+1,100,100,0,29.660311297665213,2.838517282071142,0.5563493872859439,-0.3018543450605612,-0.30359237476763723,1.0,1.0,290.68,0.31502299508182374,1.776094222931877,0.01877127680927515,400000000.0
NoiseConvolutionJamming,20.0,offset_+16,100,100,0,18.836897487518684,2.843333495722732,0.5572933651616554,-28.501699208166965,-28.529718531976496,0.0,16.0,290.55,1.525598513544398,1.2971153619840419,0.018694131285883486,400000000.0
NoiseConvolutionJamming,20.0,offset_+2,100,100,0,29.65422030165554,2.8380018546696233,0.5562483635152462,-1.1851414314792919,-1.1886192315169712,1.0,2.0,290.67,0.6221886441021368,1.6055776775241537,0.018883750890381634,400000000.0
NoiseConvolutionJamming,20.0,offset_+32,100,100,0,-1.4444518851702939,2.8459561688304635,0.5578074090907708,-60.84436354784307,-60.90086154434165,0.0,32.0,287.76,1.7091665763313824,1.4186997961763188,0.018750859890133142,400000000.0
NoiseConvolutionJamming,20.0,offset_+4,100,100,0,29.497884247601313,2.8367525173253068,0.55600349339576,-4.861876158740904,-4.868838735280628,1.0,4.0,290.33,1.1724375223886692,1.7946138505742095,0.01890497689601034,400000000.0
NoiseConvolutionJamming,20.0,offset_+8,100,100,0,28.596023564445005,2.836910320631768,0.5560344228438264,-24.75619952191072,-24.77015269320042,1.0,8.0,290.95,1.7585932047484303,1.3605278810864265,0.01868499501142651,400000000.0
NoiseConvolutionJamming,20.0,offset_-1,100,100,0,29.661443840034732,2.8394275161221656,0.5565277931599445,-0.24289127150652978,-0.30359237476763823,1.0,0.8,292.07,0.24349404045453515,1.4209204231429033,0.018532020621933043,400000000.0
NoiseConvolutionJamming,20.0,offset_-16,100,100,0,21.003056122095167,3.971132031305767,0.7783418781359304,-22.823792197273615,-28.529718531976496,0.2,12.8,294.77,1.3503387578057229,1.0386805062952917,0.018676690524443984,400000000.0
NoiseConvolutionJamming,20.0,offset_-2,100,100,0,29.658343824971087,2.8387201623459,0.5563891518197964,-0.9509127569059964,-1.1886192315169712,1.0,1.6,291.47,0.46484485820406735,1.2845618062252533,0.01858586969319731,400000000.0
NoiseConvolutionJamming,20.0,offset_-32,100,100,0,4.775843681210211,11.497444522942041,2.25349912649664,-48.72070660716574,-60.90086154434164,0.2,25.6,295.92,1.4184391457898864,1.13676863010912,0.018965875497087836,400000000.0
NoiseConvolutionJamming,20.0,offset_-4,100,100,0,29.538489101060332,2.8118974630472446,0.55113190275726,-3.8950883599169206,-4.868838735280628,1.0,3.2,292.15,0.8197047693709625,1.4358694250306088,0.01886785263195634,400000000.0
NoiseConvolutionJamming,20.0,offset_-8,100,100,0,28.82115841864663,2.67419626855279,0.5241424686363468,-19.816139526252744,-24.770152693200416,1.0,6.4,292.53,1.0973597481201949,1.0888930158707242,0.018652077997103333,400000000.0
NoiseConvolutionJamming,20.0,random,100,100,64,-182.91383020469377,146.92585157259018,32.39968159576451,-93.3358810971286,-137.90359686079853,0.19,1766.3,166.82,1.0697401643302635,1.3885386605065815,0.018714590114541352,400000000.0
NoiseConvolutionJamming,20.0,true,100,100,0,29.65923444833978,2.8389233130972977,0.5564289693670703,-8.685846209842596e-05,-8.685846209919741e-05,1.0,0.0,291.37,0.0,0.0,0.020322491764090955,400000000.0
NoiseConvolutionJamming,30.0,fixed_0,100,100,60,-0.10093674636953906,29.205360772424267,9.050835072923928,-50.37409188338958,-100.74809690831707,0.2,2300.0,250.63,1.0217701179902041,1.1317870736236322,0.019193333573639393,400000000.0
NoiseConvolutionJamming,30.0,missing,100,100,60,-0.10093674636953906,29.205360772424267,9.050835072923928,-50.37409188338958,-100.74809690831707,0.2,2300.0,250.63,1.0217701179902041,1.1317870736236322,0.019065840751864016,400000000.0
NoiseConvolutionJamming,30.0,offset_+1,100,100,0,31.175286744791773,3.0193295831071247,0.5917885982889964,-0.3018543450605612,-0.30359237476763723,1.0,1.0,291.61,0.2840624704500085,1.776094222931877,0.019010051619261503,400000000.0
NoiseConvolutionJamming,30.0,offset_+16,100,100,0,20.351872934645172,3.0238684311950292,0.5926782125142257,-28.501699208166965,-28.529718531976496,0.0,16.0,289.76,2.015681834471826,1.2971153619840419,0.018972520483657718,400000000.0
NoiseConvolutionJamming,30.0,offset_+2,100,100,0,31.16919574878217,3.0188437732535096,0.5916933795576879,-1.1851414314792919,-1.1886192315169712,1.0,2.0,291.19,0.5671182466372935,1.6055776775241537,0.019028314854949713,400000000.0
NoiseConvolutionJamming,30.0,offset_+32,100,100,0,0.07052356195615732,3.0263405389400058,0.5931627456322411,-60.84436354784307,-60.90086154434165,0.0,32.0,287.67,1.9683093667225282,1.4186997961763188,0.019034970900975168,400000000.0
NoiseConvolutionJamming,30.0,offset_+4,100,100,0,31.012859694727876,3.017666119885718,0.5914625594976007,-4.861876158740904,-4.868838735280628,1.0,4.0,291.54,1.1006421682265255,1.7946138505742095,0.019183242111466825,400000000.0
NoiseConvolutionJamming,30.0,offset_+8,100,100,0,30.110999011571565,3.017814381226759,0.5914916187204448,-24.75619952191072,-24.77015269320042,1.0,8.0,289.78,1.806826880014724,1.3605278810864265,0.01899292168673128,400000000.0
NoiseConvolutionJamming,30.0,offset_-1,100,100,0,31.17641928716167,3.0201874216137523,0.5919567346362954,-0.24289127150652978,-0.30359237476763823,1.0,0.8,291.86,0.21879812578817914,1.4209204231429033,0.01896505185868591,400000000.0
NoiseConvolutionJamming,30.0,offset_-16,100,100,0,22.51803156922169,4.099082598632341,0.8034201893319388,-22.823792197273615,-28.529718531976496,0.2,12.8,295.05,1.5459306930634427,1.0386805062952917,0.019263321300968528,400000000.0
NoiseConvolutionJamming,30.0,offset_-2,100,100,0,31.173319272097693,3.0195208358967194,0.591826083835757,-0.9509127569059964,-1.1886192315169712,1.0,1.6,291.28,0.42239200881698946,1.2845618062252533,0.01893713662866503,400000000.0
NoiseConvolutionJamming,30.0,offset_-32,100,100,0,6.290819128336696,11.540103085303198,2.2618602047194267,-48.72070660716574,-60.90086154434164,0.2,25.6,296.38,1.6370624177483761,1.13676863010912,0.01938540895935148,400000000.0
NoiseConvolutionJamming,30.0,offset_-4,100,100,0,31.053464548187538,2.994256675372152,0.5868743083729417,-3.8950883599169206,-4.868838735280628,1.0,3.2,292.0,0.7904575858671613,1.4358694250306088,0.019303738372400403,400000000.0
NoiseConvolutionJamming,30.0,offset_-8,100,100,0,30.336133865773306,2.864948103782462,0.5615298283413626,-19.816139526252744,-24.770152693200416,1.0,6.4,293.61,1.3065540649773584,1.0888930158707242,0.019225358264520764,400000000.0
NoiseConvolutionJamming,30.0,random,100,100,64,-181.2926565728951,147.00063928635012,32.4161735751348,-93.3358810971286,-137.90359686079853,0.19,1766.3,166.88,1.1185586657195221,1.3885386605065815,0.019095010356977582,400000000.0
NoiseConvolutionJamming,30.0,true,100,100,0,31.174209895466404,3.0197122763899236,0.591863606172425,-8.685846209842596e-05,-8.685846209919741e-05,1.0,0.0,292.04,0.0,0.0,0.020635411492548883,400000000.0
