jammer,jsr_db,seed,target_position,true_target_idx_for_evaluation_only,mode,supplied_target_idx,effective_target_idx,target_idx_error,oracle_input_status,forbidden_keys_present,interface_status,runtime_ms,memory_usage_bytes,equivalent_workspace_bytes,implementation_path,exception_type,exception_message,filter_coefficient_difference_norm,target_only_response_change_db,target_only_response_change_is_finite,target_preservation_status,target_only_reference_peak_index,delta_sinr_db,detected_before,detected_after,peak_error_before,peak_error_after,false_peak_count_before,false_peak_count_after,target_window_peak_change_db,output_is_finite,normalized_output_difference_vs_true
NoiseProductJamming,0.0,5000,1250,1250,offset_+4,1254,1254,4,DIAGNOSTIC_INDEX_INJECTED,target_idx,PASS,0.015833007637411356,400000000,160016,algebraic_equivalent_to_active_core,,,1.7948367812882602,-4.868838735280628,True,TARGET_ATTENUATED,1250,11.869174572250198,True,True,1,4,0,494,-4.018420429587706,True,0.6658911549466197
NoiseProductJamming,0.0,5000,1250,1250,offset_+8,1258,1258,8,DIAGNOSTIC_INDEX_INJECTED,target_idx,PASS,0.015583995264023542,400000000,160016,algebraic_equivalent_to_active_core,,,1.3611162698384056,-24.770152693200416,True,TARGET_ATTENUATED,1250,10.974422580018096,True,True,1,8,0,483,-18.005173093494275,True,0.9801209351388749
NoiseProductJamming,0.0,5000,1250,1250,offset_+16,1266,1266,16,DIAGNOSTIC_INDEX_INJECTED,target_idx,PASS,0.01575000351294875,400000000,160016,algebraic_equivalent_to_active_core,,,1.2983506328691141,-28.529718531976496,True,TARGET_ATTENUATED,1250,1.2066969585905447,True,False,1,16,0,485,-21.94994681442195,True,0.9823459408812156
NoiseProductJamming,0.0,5000,1250,1250,offset_+32,1282,1282,32,DIAGNOSTIC_INDEX_INJECTED,target_idx,PASS,0.01591601176187396,400000000,160016,algebraic_equivalent_to_active_core,,,1.4209607876364,-60.90086154434165,True,TARGET_ATTENUATED,1250,-19.074428652589667,True,False,1,32,0,476,-38.43550334641638,True,1.002022811016185
NoiseProductJamming,0.0,5000,1250,1250,fixed_0,0,0,1250,DIAGNOSTIC_INDEX_INJECTED,target_idx,PASS,0.0160830095410347,400000000,160016,algebraic_equivalent_to_active_core,,,1.4162946809990096,-100.74809690831707,True,TARGET_ATTENUATED,1250,-48.59073339390882,True,False,1,750,0,627,-84.14293561563305,True,1.0001430592134202
NoiseProductJamming,0.0,5000,1250,1250,random,3312,3312,2062,DIAGNOSTIC_INDEX_INJECTED,target_idx,PASS,0.017250014934688807,400000000,160016,algebraic_equivalent_to_active_core,,,1.4142135623730505,-inf,False,TARGET_ERASED,1250,-332.5080707618147,True,False,1,2062,0,120,-369.4670897963339,True,1.0000799313027535
NoiseProductJamming,0.0,5000,1250,1250,missing,,0,,PASS_MISSING_INDEX,,PASS,0.016249949112534523,400000000,160016,algebraic_equivalent_to_active_core,,,1.4162946809990096,-100.74809690831707,True,TARGET_ATTENUATED,1250,-48.59073339390882,True,False,1,750,0,627,-84.14293561563305,True,1.0001430592134202
NoiseProductJamming,0.0,5000,2500,2500,true,2500,2500,0,DIAGNOSTIC_INDEX_INJECTED,target_idx,PASS,0.018042046576738358,400000000,160016,algebraic_equivalent_to_active_core,,,0.0,-8.685846209726874e-05,True,TARGET_PRESERVED,2500,11.983046336572148,True,True,1,0,1,281,-0.1689771284105614,True,0.0
NoiseProductJamming,0.0,5000,2500,2500,offset_-32,2468,2468,32,DIAGNOSTIC_INDEX_INJECTED,target_idx,PASS,0.016042031347751617,400000000,160016,algebraic_equivalent_to_active_core,,,1.4209607876364,-60.90086154434164,True,TARGET_ATTENUATED,2500,-19.111126041872133,True,False,1,32,1,280,-35.790833045695464,True,1.008277023346905
NoiseProductJamming,0.0,5000,2500,2500,offset_-16,2484,2484,16,DIAGNOSTIC_INDEX_INJECTED,target_idx,PASS,0.015666999388486147,400000000,160016,algebraic_equivalent_to_active_core,,,1.2983506328691141,-28.529718531976496,True,TARGET_ATTENUATED,2500,1.1699995693076417,True,False,1,16,1,282,-24.177528117965466,True,0.9845050022372727
