jammer,jsr_db,target_position,mode,trials,interface_pass,target_erased_count,delta_sinr_mean_db,delta_sinr_std_db,delta_sinr_ci95_db,target_only_change_mean_db,target_only_change_min_db,detected_after_mean,peak_error_after_mean,false_peak_after_mean,normalized_output_difference_mean,filter_coefficient_difference_mean,runtime_mean_ms,memory_mean_bytes
AMNoiseGaiJam,0.0,3750,offset_-32,20,20,0,-22.952306430876618,0.3462186898532874,0.151737031016202,-60.90086154434166,-60.90086154434164,0.0,32.0,59.4,1.0003056643404267,1.4209607876364,0.019460395560599864,400000000.0
AMNoiseGaiJam,0.0,3750,offset_-4,20,20,0,7.991296793964492,0.3462186898535348,0.15173703101631042,-4.868838735280628,-4.868838735280626,1.0,4.0,55.85,0.6618370516893262,1.7948367812882602,0.019047997193410993,400000000.0
AMNoiseGaiJam,0.0,3750,offset_-8,20,20,0,7.096544801733988,0.3462186898535311,0.1517370310163088,-24.77015269320042,-24.770152693200416,1.0,8.0,57.6,0.9744581883494551,1.3611162698384054,0.01921050134114921,400000000.0
AMNoiseGaiJam,0.0,3750,random,20,20,12,-182.44313310408862,150.57323786106159,76.20057196906816,-89.77558969896556,-137.90359686079853,0.2,1532.0,89.35,1.0002899016775404,1.3905057385755513,0.019352007075212896,400000000.0
AMNoiseGaiJam,0.0,3750,true,20,20,0,8.141865947568963,0.34621868985353493,0.15173703101631045,-8.685846209919741e-05,-8.685846209919741e-05,1.0,0.0,53.5,0.0,0.0,0.021037558326497674,400000000.0
AMNoiseGaiJam,0.0,4500,fixed_0,20,20,20,nan,0.0,0.0,nan,nan,0.0,4500.0,0.0,0.9999999999999691,1.4142135623730503,0.019289646297693253,400000000.0
AMNoiseGaiJam,0.0,4500,missing,20,20,20,nan,0.0,0.0,nan,nan,0.0,4500.0,0.0,0.9999999999999691,1.4142135623730503,0.01916889741551131,400000000.0
AMNoiseGaiJam,0.0,4500,offset_+1,20,20,0,8.073918296544154,0.35666294367999474,0.15631442707623486,-0.29490222623225715,-0.2949022262322571,1.0,1.0,12.05,0.18591080945388547,1.775868998944868,0.019183254335075617,400000000.0
AMNoiseGaiJam,0.0,4500,offset_+16,20,20,0,-2.75121143490012,0.3566629436799647,0.1563144270762217,-28.389621912928863,-28.389621912928863,0.0,16.0,17.65,0.9830187691038048,1.292174278443752,0.019126952975057065,400000000.0
AMNoiseGaiJam,0.0,4500,offset_+2,20,20,0,8.058963392365811,0.356662943679995,0.15631442707623497,-1.1712302313285752,-1.1712302313285752,1.0,2.0,12.65,0.3618374088828529,1.6050793564945063,0.01925610122270882,400000000.0
AMNoiseGaiJam,0.0,4500,offset_+32,20,20,0,-23.02189518848028,0.356662943680008,0.15631442707624066,-60.61837156184881,-60.61837156184882,0.0,32.0,16.35,1.002133300875705,1.4096558303359936,0.019239462562836707,400000000.0
AMNoiseGaiJam,0.0,4500,offset_+4,20,20,0,7.876556750052821,0.35666294367999457,0.15631442707623477,-4.8340258525820134,-4.834025852582013,1.0,4.0,14.25,0.6661500619485542,1.793722127718004,0.0192144449101761,400000000.0
AMNoiseGaiJam,0.0,4500,offset_+8,20,20,0,6.953906852420056,0.35666294367965895,0.1563144270760877,-24.700386836751925,-24.70038683675192,1.0,8.0,13.3,0.9849435794460744,1.3581743260785106,0.01924170064739883,400000000.0
AMNoiseGaiJam,0.0,4500,offset_-1,20,20,0,8.08236300458254,0.356662943679995,0.15631442707623497,-0.3035923747676373,-0.30359237476763723,1.0,1.0,12.8,0.18808193477516602,1.7761505289286288,0.019075159798376262,400000000.0
AMNoiseGaiJam,0.0,4500,offset_-16,20,20,0,-2.762170321076024,0.3566629436799871,0.1563144270762315,-28.5297185319765,-28.529718531976496,0.0,16.0,19.25,0.9824002819812078,1.298350632869114,0.019241697737015784,400000000.0
AMNoiseGaiJam,0.0,4500,offset_-2,20,20,0,8.07845956717908,0.35666294367999485,0.1563144270762349,-1.1886192315169701,-1.1886192315169701,1.0,2.0,13.2,0.36253282612235177,1.6057022577815663,0.01910415303427726,400000000.0
AMNoiseGaiJam,0.0,4500,offset_-32,20,20,0,-23.05485569196057,0.3566629436797482,0.1563144270761268,-60.90086154434166,-60.90086154434164,0.0,32.0,18.55,1.0003056643404267,1.4209607876364,0.0195269996766001,400000000.0
AMNoiseGaiJam,0.0,4500,offset_-4,20,20,0,7.92756173277589,0.35666294367999474,0.15631442707623486,-4.868838735280623,-4.868838735280624,1.0,4.0,13.9,0.6618370516893262,1.7948367812882602,0.019108352717012167,400000000.0
