jammer,algorithm,jsr_db,target_position,trials,interface_pass,oracle_input_failures,target_erased_count,fallback_count,delta_sinr_mean_db,delta_sinr_std_db,target_only_change_mean_db,pd_after,estimation_error_mean,confidence_mean,runtime_mean_ms,memory_mean_bytes
AMNoiseGaiJam,adapt_filter_oracle,20.0,3500,10,10,0,0,0,24.39962770214635,1.0776926021460056,-8.685846209919741e-05,1.0,0.0,1.0,32.69695841008797,400257360.0
AMNoiseGaiJam,adapt_filter_oracle,20.0,500,10,10,0,0,0,21.03258187080669,0.9782481204585708,-8.685846209919741e-05,1.0,0.0,1.0,32.64327939832583,400257328.0
AMNoiseGaiJam,adapt_filter_oracle,30.0,1500,10,10,0,0,0,29.617990715470103,1.3355731368982957,-8.685846209919741e-05,1.0,0.0,1.0,32.73202939890325,400257360.0
AMNoiseGaiJam,adapt_filter_oracle,30.0,3500,10,10,0,0,0,29.61769732827303,1.3355764526950848,-8.685846209919741e-05,1.0,0.0,1.0,32.71469168830663,400257360.0
AMNoiseGaiJam,adapt_filter_oracle,30.0,500,10,10,0,0,0,26.218654362842237,1.1865312924420481,-8.685846209919741e-05,1.0,0.0,1.0,32.62611250975169,400257328.0
FMNoiseAimedJam,Identity,0.0,1500,10,10,0,0,10,0.0,0.0,-8.678947198979587e-15,1.0,nan,1.0,0.0,0.0
FMNoiseAimedJam,Identity,0.0,3500,10,10,0,0,10,0.0,0.0,-8.678947198979587e-15,1.0,nan,1.0,0.0,0.0
FMNoiseAimedJam,Identity,0.0,500,10,10,0,0,10,0.0,0.0,-8.678947198979587e-15,1.0,nan,1.0,0.0,0.0
FMNoiseAimedJam,Identity,10.0,1500,10,10,0,0,10,0.0,0.0,-8.678947198979587e-15,0.9,nan,1.0,0.0,0.0
FMNoiseAimedJam,Identity,10.0,3500,10,10,0,0,10,0.0,0.0,-8.678947198979587e-15,0.9,nan,1.0,0.0,0.0
FMNoiseAimedJam,Identity,10.0,500,10,10,0,0,10,0.0,0.0,-8.678947198979587e-15,0.9,nan,1.0,0.0,0.0
FMNoiseAimedJam,Identity,20.0,1500,10,10,0,0,10,0.0,0.0,-8.678947198979587e-15,0.0,nan,1.0,0.0,0.0
FMNoiseAimedJam,Identity,20.0,3500,10,10,0,0,10,0.0,0.0,-8.678947198979587e-15,0.0,nan,1.0,0.0,0.0
FMNoiseAimedJam,Identity,20.0,500,10,10,0,0,10,0.0,0.0,-8.678947198979587e-15,0.0,nan,1.0,0.0,0.0
FMNoiseAimedJam,Identity,30.0,1500,10,10,0,0,10,0.0,0.0,-8.678947198979587e-15,0.0,nan,1.0,0.0,0.0
