jammer,algorithm,jsr_db,seed,jammer_contract_status,jammer_comparable,requested_jsr_db,measured_jsr_db,jsr_error_db,jsr_status,legacy_components_available,interface_status,oracle_input_status,forbidden_keys_present,delta_sinr_db,pd_identity,pd_algorithm,peak_error_identity,peak_error_algorithm,false_peak_identity,false_peak_algorithm,target_only_response_change_db,target_preservation_status,runtime_ms,memory_usage_bytes,max_false_peak_db_after
AMNoiseGaiJam,Current_WLN,10.0,2028,UNIFIED_JSR_PASS,True,10.0,10.0,0.0,unified/pass,True,PASS,PASS,,1.5796495483236548,1.0,1.0,0,0,2,2,1.7542552869168084,TARGET_PRESERVED,2.120667020790279,839346,-29.55987025816496
AMNoiseGaiJam,Current_WLN,10.0,2029,UNIFIED_JSR_PASS,True,10.0,10.0,0.0,unified/pass,True,PASS,PASS,,1.5165249298432535,1.0,1.0,0,0,0,1,1.7542552869168084,TARGET_PRESERVED,2.1924999891780317,839576,-30.582204323734704
AMNoiseGaiJam,Current_WLN,20.0,2000,UNIFIED_JSR_PASS,True,20.0,20.0,0.0,unified/pass,True,PASS,PASS,,2.3776274927850007,0.0,1.0,0,1,0,0,1.7542552869168084,TARGET_PRESERVED,2.28208297630772,839446,-inf
AMNoiseGaiJam,Current_WLN,20.0,2001,UNIFIED_JSR_PASS,True,20.0,20.0,0.0,unified/pass,True,PASS,PASS,,2.3136914951550835,0.0,1.0,1,1,0,0,1.7542552869168084,TARGET_PRESERVED,2.155709022190422,839439,-inf
AMNoiseGaiJam,Current_WLN,20.0,2002,UNIFIED_JSR_PASS,True,20.0,20.0,0.0,unified/pass,True,PASS,PASS,,2.491846669138816,0.0,1.0,1,1,0,0,1.7542552869168084,TARGET_PRESERVED,2.3542079725302756,839400,-inf
AMNoiseGaiJam,Current_WLN,20.0,2003,UNIFIED_JSR_PASS,True,20.0,20.0,0.0,unified/pass,True,PASS,PASS,,1.8815083251039582,0.0,1.0,0,0,2,2,1.7542552869168084,TARGET_PRESERVED,2.096833020914346,839537,-31.973778682390638
AMNoiseGaiJam,Current_WLN,20.0,2004,UNIFIED_JSR_PASS,True,20.0,19.999999999999996,-3.552713678800501e-15,unified/pass,True,PASS,PASS,,2.588147431226714,0.0,0.0,0,0,0,0,1.7542552869168084,TARGET_PRESERVED,2.246832998935133,839581,-inf
AMNoiseGaiJam,Current_WLN,20.0,2005,UNIFIED_JSR_PASS,True,20.0,19.999999999999996,-3.552713678800501e-15,unified/pass,True,PASS,PASS,,2.1725002459199807,1.0,1.0,1,1,0,0,1.7542552869168084,TARGET_PRESERVED,2.2090409765951335,839450,-inf
AMNoiseGaiJam,Current_WLN,20.0,2006,UNIFIED_JSR_PASS,True,20.0,20.0,0.0,unified/pass,True,PASS,PASS,,2.5313153008469413,0.0,0.0,0,0,1,1,1.7542552869168084,TARGET_PRESERVED,2.0686660427600145,839389,-35.62963799217059
AMNoiseGaiJam,Current_WLN,20.0,2007,UNIFIED_JSR_PASS,True,20.0,20.0,0.0,unified/pass,True,PASS,PASS,,2.0508943927072707,0.0,1.0,1,1,0,0,1.7542552869168084,TARGET_PRESERVED,2.461708034388721,839616,-inf
