jammer,role,jsr_db,target_position,trials,interface_pass,interface_failures,oracle_input_failures,target_erased_count,delta_sinr_mean_db,delta_sinr_std_db,delta_sinr_ci95_db,pd_mean,target_only_change_mean_db,fallback_ratio,estimation_error_mean,confidence_mean,position_spread_db
AMNoiseGaiJam,ORACLE_UPPER_BOUND,0.0,4000,50,50,0,0,0,9.025039352708179,0.2948371198301261,0.081724680096738,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
AMNoiseGaiJam,ORACLE_UPPER_BOUND,10.0,1000,50,50,0,0,0,16.669696256386068,0.6801301322035831,0.188522454399619,1.0,-8.685846209437572e-05,0.0,0.0,1.0,0.0
AMNoiseGaiJam,ORACLE_UPPER_BOUND,10.0,1500,50,50,0,0,0,16.671801145923368,0.5148606460392775,0.14271209003874027,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
AMNoiseGaiJam,ORACLE_UPPER_BOUND,10.0,2500,50,50,0,0,0,17.922368835440995,0.3495448098055858,0.09688887809409995,1.0,-8.68584620963044e-05,0.0,0.0,1.0,0.0
AMNoiseGaiJam,ORACLE_UPPER_BOUND,10.0,3500,50,50,0,0,0,17.911049999080074,0.35161761804585384,0.09746343122511476,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
AMNoiseGaiJam,ORACLE_UPPER_BOUND,10.0,4000,50,50,0,0,0,17.92300185957713,0.3566980221451962,0.09887164739552143,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
AMNoiseGaiJam,ORACLE_UPPER_BOUND,20.0,1000,50,50,0,0,0,24.466116801341812,1.4770837414208142,0.4094267245361094,1.0,-8.685846209437572e-05,0.0,0.0,1.0,0.0
AMNoiseGaiJam,ORACLE_UPPER_BOUND,20.0,1500,50,50,0,0,0,24.425490238718925,0.8683506284471649,0.24069451418645543,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
AMNoiseGaiJam,ORACLE_UPPER_BOUND,20.0,2500,50,50,0,0,0,27.795876657901896,0.35635796700163586,0.09877738891870978,1.0,-8.68584620963044e-05,0.0,0.0,1.0,0.0
AMNoiseGaiJam,ORACLE_UPPER_BOUND,20.0,3500,50,50,0,0,0,27.784669195883,0.35829203375374535,0.09931348487125793,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
AMNoiseGaiJam,ORACLE_UPPER_BOUND,20.0,4000,50,50,0,0,0,27.796117019577082,0.36291342547336275,0.10059446930125458,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
AMNoiseGaiJam,ORACLE_UPPER_BOUND,30.0,1000,50,50,0,0,0,29.22959548763262,2.0035299884529985,0.5553501793291223,1.0,-8.685846209437572e-05,0.0,0.0,1.0,0.0
AMNoiseGaiJam,ORACLE_UPPER_BOUND,30.0,1500,50,50,0,0,0,29.647315859210142,1.4111512831335926,0.3911511795008735,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
AMNoiseGaiJam,ORACLE_UPPER_BOUND,30.0,2500,50,50,0,0,0,37.783224404837156,0.3564745497920043,0.09880970401951235,1.0,-8.68584620963044e-05,0.0,0.0,1.0,0.0
AMNoiseGaiJam,ORACLE_UPPER_BOUND,30.0,3500,50,50,0,0,0,37.77198264559829,0.3583300234797122,0.09932401508605379,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
AMNoiseGaiJam,ORACLE_UPPER_BOUND,30.0,4000,50,50,0,0,0,37.783378597738576,0.36284960488357515,0.10057677913630188,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
FMNoiseAimedJam,FROZEN_REJECTION_CONFIRMATION,0.0,1000,50,50,0,0,0,10.298053108490842,0.4674959447450096,0.12958326466091186,1.0,-8.68588530327097e-06,0.0,0.1,0.9451632139283487,0.0
FMNoiseAimedJam,FROZEN_REJECTION_CONFIRMATION,0.0,1500,50,50,0,0,0,10.523717949332557,0.5065989688511354,0.14042206995696616,1.0,-8.685885305199628e-06,0.0,0.0,0.9420890803851967,0.0
FMNoiseAimedJam,FROZEN_REJECTION_CONFIRMATION,0.0,2500,50,50,0,0,0,10.584894716012707,0.3203113661126359,0.08878578091519372,1.0,-8.685885305199628e-06,0.0,0.0,0.9131281152161812,0.0
FMNoiseAimedJam,FROZEN_REJECTION_CONFIRMATION,0.0,3500,50,50,0,0,0,10.5988630402096,0.3366899864870907,0.09332570286023052,1.0,-8.685885305199628e-06,0.0,0.0,0.9130448910191822,0.0
FMNoiseAimedJam,FROZEN_REJECTION_CONFIRMATION,0.0,4000,50,50,0,0,0,10.591140868424963,0.3271690998776349,0.09068664773432439,1.0,-8.685885306163955e-06,0.0,0.0,0.9131725911440545,0.0
FMNoiseAimedJam,FROZEN_REJECTION_CONFIRMATION,10.0,1000,50,50,0,0,0,18.943500884895403,2.978902168277642,0.8257095540827287,0.98,-8.68588530327097e-06,0.02,0.7142857142857143,0.8336662615840865,0.0
