jammer,jsr_db,seed,target_position,position_policy,fixture_label_physical,fixture_label_stress,physical_received_energy_error_db,stress_received_energy_error_db,physical_target_energy_error_db,stress_target_energy_error_db,physical_noise_energy_error_db,stress_noise_energy_error_db,physical_jammer_energy_error_db,stress_jammer_energy_error_db,physical_measured_jsr_db,stress_received_finite
NoiseProductJamming,10.0,6100,2500,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,0.06220391467366679,-0.037146210085670484,0.0,0.0,0.0,-0.9213522413999027,0.0,0.0,10.0,True
NoiseProductJamming,10.0,6100,3500,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,0.050619374375257056,-0.07745902401539514,0.0,0.0,0.0,-2.1951402695838955,9.64327466553287e-16,9.64327466553287e-16,10.0,True
NoiseProductJamming,10.0,6100,4000,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,0.060032361313681,-0.09761564369264779,0.0,0.0,0.0,-3.0003941618804464,9.64327466553287e-16,9.64327466553287e-16,10.0,True
NoiseProductJamming,10.0,6101,1000,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,-0.09917052223569853,-0.019065511863172842,0.0,0.0,0.0,-0.46697818159502946,-9.643274665532871e-16,-9.643274665532871e-16,10.0,True
NoiseProductJamming,10.0,6101,1500,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,-0.10740957817138896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,True
NoiseProductJamming,10.0,6101,2500,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,-0.050635950872969765,-0.039106764030380596,0.0,0.0,0.0,-1.0161996281305252,0.0,0.0,10.0,True
NoiseProductJamming,10.0,6101,3500,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,-0.10115403242907287,-0.07441205227650159,0.0,0.0,0.0,-2.185111604668513,0.0,0.0,10.0,True
NoiseProductJamming,10.0,6101,4000,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,-0.06251378332777519,-0.09479824717750573,0.0,0.0,0.0,-3.032169899537483,-9.643274665532871e-16,-9.643274665532871e-16,10.0,True
NoiseProductJamming,10.0,6102,1000,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,0.07282947480180842,-0.017611957115822384,0.0,0.0,0.0,-0.431630376823772,0.0,0.0,10.0,True
NoiseProductJamming,10.0,6102,1500,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,0.08962142053167912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,True
NoiseProductJamming,10.0,6102,2500,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,0.09171714971804579,-0.035937307729675724,0.0,0.0,0.0,-0.9293301522333303,-9.643274665532871e-16,-9.643274665532871e-16,9.999999999999998,True
NoiseProductJamming,10.0,6102,3500,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,0.05392516113038545,-0.07467005987541042,0.0,0.0,0.0,-2.2075615365975465,0.0,0.0,10.0,True
NoiseProductJamming,10.0,6102,4000,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,0.10192229811082973,-0.09432397628083444,0.0,0.0,0.0,-3.0298073206318565,0.0,0.0,10.0,True
NoiseProductJamming,10.0,6103,1000,TARGET_COUPLED_COMPONENT_SHIFT,PHYSICAL_COMPONENT_RECOMPOSITION,WHOLE_RECORD_TRANSLATION_STRESS,-0.023047541125893696,-0.01882175938459946,0.0,0.0,0.0,-0.46699289844412345,0.0,0.0,10.0,True
