jammer,jsr_db,seed,target_position,true_target_idx_for_evaluation_only,candidate_id,estimated_target_idx,estimation_error_for_evaluation_only,estimator_confidence,fallback,fit_status,oracle_input_status,forbidden_keys_present,target_preservation_status,target_only_response_change_db,algorithm,role,interface_status,delta_sinr_db,detected_before,detected_after,pd_after,peak_error_before,peak_error_after,false_peak_count_before,false_peak_count_after,target_window_peak_change_db,runtime_ms,memory_usage_bytes
NoiseProductJamming,0.0,9101,4000,4000,,4000,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,target_idx,TARGET_PRESERVED,-8.685846209919741e-05,adapt_filter_oracle,ORACLE_UPPER_BOUND,PASS,12.295494661512205,True,True,True,0,0,1,21,-8.68584620963044e-05,23.605708964169025,400257328
NoiseProductJamming,0.0,9101,4000,4000,B_k3_c0.8_r0.001,4000,0,0.9303166123512823,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,TARGET_PRESERVED,-8.685885306163955e-06,adapt_filter_fair_frozen,FROZEN_REJECTION_CONFIRMATION,PASS,12.295494661512205,True,True,True,0,0,1,16,-8.685885302306642e-06,0.5192499957047403,80000
NoiseProductJamming,0.0,9102,1000,1000,,,,1.0,Identity,IDENTITY,PASS,,TARGET_PRESERVED,0.0,Identity,IDENTITY_BASELINE,PASS,0.0,True,True,True,0,0,0,0,-9.643274665532877e-15,0.0,0
NoiseProductJamming,0.0,9102,1000,1000,,1000,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,target_idx,TARGET_PRESERVED,-8.685846209437573e-05,adapt_filter_oracle,ORACLE_UPPER_BOUND,PASS,12.755131018324999,True,True,True,0,0,0,529,-8.685846209823309e-05,24.712958955205977,400257328
NoiseProductJamming,0.0,9102,1000,1000,B_k3_c0.8_r0.001,1000,0,0.9517487302168491,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,TARGET_PRESERVED,-8.68588530327097e-06,adapt_filter_fair_frozen,FROZEN_REJECTION_CONFIRMATION,PASS,12.755131018325006,True,True,True,0,0,0,546,-8.685885305199628e-06,0.5383749958127737,80000
NoiseProductJamming,0.0,9102,1500,1500,,,,1.0,Identity,IDENTITY,PASS,,TARGET_PRESERVED,0.0,Identity,IDENTITY_BASELINE,PASS,0.0,True,True,True,0,0,0,0,-9.643274665532877e-15,0.0,0
NoiseProductJamming,0.0,9102,1500,1500,,1500,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,target_idx,TARGET_PRESERVED,-8.685846209919741e-05,adapt_filter_oracle,ORACLE_UPPER_BOUND,PASS,12.644986393148606,True,True,True,0,0,0,448,-8.68584620963044e-05,23.645833018235862,400257328
NoiseProductJamming,0.0,9102,1500,1500,B_k3_c0.8_r0.001,1500,0,0.948407094018995,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,TARGET_PRESERVED,-8.685885305199628e-06,adapt_filter_fair_frozen,FROZEN_REJECTION_CONFIRMATION,PASS,12.644986393148614,True,True,True,0,0,0,444,-8.685885302306642e-06,0.5215840064920485,80000
NoiseProductJamming,0.0,9102,2500,2500,,,,1.0,Identity,IDENTITY,PASS,,TARGET_PRESERVED,0.0,Identity,IDENTITY_BASELINE,PASS,0.0,True,True,True,0,0,1,1,-9.643274665532877e-15,0.0,0
NoiseProductJamming,0.0,9102,2500,2500,,2500,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,target_idx,TARGET_PRESERVED,-8.68584620963044e-05,adapt_filter_oracle,ORACLE_UPPER_BOUND,PASS,12.617224465411994,True,True,True,0,0,1,264,-8.685846210016177e-05,23.846999974921346,400257328
NoiseProductJamming,0.0,9102,2500,2500,B_k3_c0.8_r0.001,2500,0,0.9498190856724213,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,TARGET_PRESERVED,-8.685885305199628e-06,adapt_filter_fair_frozen,FROZEN_REJECTION_CONFIRMATION,PASS,12.617224465411987,True,True,True,0,0,1,264,-8.685885306163955e-06,0.5215840064920485,80000
NoiseProductJamming,0.0,9102,3500,3500,,,,1.0,Identity,IDENTITY,PASS,,TARGET_PRESERVED,0.0,Identity,IDENTITY_BASELINE,PASS,0.0,True,True,True,0,0,1,1,-9.643274665532877e-15,0.0,0
NoiseProductJamming,0.0,9102,3500,3500,,3500,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,target_idx,TARGET_PRESERVED,-8.685846209919741e-05,adapt_filter_oracle,ORACLE_UPPER_BOUND,PASS,12.674530770961564,True,True,True,0,0,1,92,-8.68584620963044e-05,23.73566699679941,400257328
NoiseProductJamming,0.0,9102,3500,3500,B_k3_c0.8_r0.001,3500,0,0.951381191489052,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,TARGET_PRESERVED,-8.685885305199628e-06,adapt_filter_fair_frozen,FROZEN_REJECTION_CONFIRMATION,PASS,12.67453077096157,True,True,True,0,0,1,91,-8.685885302306642e-06,0.4835000145249069,80000
NoiseProductJamming,0.0,9102,4000,4000,,,,1.0,Identity,IDENTITY,PASS,,TARGET_PRESERVED,0.0,Identity,IDENTITY_BASELINE,PASS,0.0,True,True,True,0,0,1,1,-9.643274665532877e-15,0.0,0
NoiseProductJamming,0.0,9102,4000,4000,,4000,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,target_idx,TARGET_PRESERVED,-8.685846209919741e-05,adapt_filter_oracle,ORACLE_UPPER_BOUND,PASS,12.70245710679665,True,True,True,0,0,1,16,-8.685846209726874e-05,23.68033298989758,400257328
NoiseProductJamming,0.0,9102,4000,4000,B_k3_c0.8_r0.001,4000,0,0.951181256470625,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,TARGET_PRESERVED,-8.685885306163955e-06,adapt_filter_fair_frozen,FROZEN_REJECTION_CONFIRMATION,PASS,12.70245710679665,True,True,True,0,0,1,15,-8.685885302306642e-06,0.6162499776110053,80000
NoiseProductJamming,0.0,9103,1000,1000,,,,1.0,Identity,IDENTITY,PASS,,TARGET_PRESERVED,0.0,Identity,IDENTITY_BASELINE,PASS,0.0,True,True,True,0,0,2,2,-9.643274665532877e-15,0.0,0
NoiseProductJamming,0.0,9103,1000,1000,,1000,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,target_idx,TARGET_PRESERVED,-8.685846209437573e-05,adapt_filter_oracle,ORACLE_UPPER_BOUND,PASS,13.132686543477156,True,True,True,0,0,2,544,-8.685846210016177e-05,23.726582992821932,400257328
NoiseProductJamming,0.0,9103,1000,1000,B_k3_c0.8_r0.001,1000,0,0.9267808530438113,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,TARGET_PRESERVED,-8.68588530327097e-06,adapt_filter_fair_frozen,FROZEN_REJECTION_CONFIRMATION,PASS,13.132686543477156,True,True,True,0,0,2,533,-8.685885307128283e-06,0.5039999959990382,80000
NoiseProductJamming,0.0,9103,1500,1500,,,,1.0,Identity,IDENTITY,PASS,,TARGET_PRESERVED,0.0,Identity,IDENTITY_BASELINE,PASS,0.0,True,True,True,0,0,1,1,-9.643274665532877e-15,0.0,0
NoiseProductJamming,0.0,9103,1500,1500,,1500,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,target_idx,TARGET_PRESERVED,-8.685846209919741e-05,adapt_filter_oracle,ORACLE_UPPER_BOUND,PASS,13.227916549130327,True,True,True,0,0,1,467,-8.685846209726874e-05,23.46987498458475,400257328
NoiseProductJamming,0.0,9103,1500,1500,B_k3_c0.8_r0.001,1500,0,0.9269123829874693,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,TARGET_PRESERVED,-8.685885305199628e-06,adapt_filter_fair_frozen,FROZEN_REJECTION_CONFIRMATION,PASS,13.227916549130327,True,True,True,0,0,1,452,-8.685885305199628e-06,0.4972500028088689,80000
NoiseProductJamming,0.0,9103,2500,2500,,,,1.0,Identity,IDENTITY,PASS,,TARGET_PRESERVED,0.0,Identity,IDENTITY_BASELINE,PASS,0.0,True,True,True,0,0,1,1,-9.643274665532877e-15,0.0,0
NoiseProductJamming,0.0,9103,2500,2500,,2500,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,target_idx,TARGET_PRESERVED,-8.68584620963044e-05,adapt_filter_oracle,ORACLE_UPPER_BOUND,PASS,13.107112386410925,True,True,True,0,0,1,276,-8.685846210016177e-05,23.683374980464578,400257328
NoiseProductJamming,0.0,9103,2500,2500,B_k3_c0.8_r0.001,2500,0,0.932336721424262,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,TARGET_PRESERVED,-8.685885305199628e-06,adapt_filter_fair_frozen,FROZEN_REJECTION_CONFIRMATION,PASS,13.107112386410925,True,True,True,0,0,1,272,-8.685885307128283e-06,0.47283299500122666,80000
NoiseProductJamming,0.0,9103,3500,3500,,,,1.0,Identity,IDENTITY,PASS,,TARGET_PRESERVED,0.0,Identity,IDENTITY_BASELINE,PASS,0.0,True,True,True,0,0,1,1,-9.643274665532877e-15,0.0,0
