jammer,role,jsr_db,target_position,trials,interface_pass,interface_failures,oracle_input_failures,target_erased_count,delta_sinr_mean_db,delta_sinr_std_db,delta_sinr_ci95_db,pd_mean,target_only_change_mean_db,fallback_ratio,estimation_error_mean,confidence_mean,position_spread_db
AMNoiseGaiJam,ORACLE_UPPER_BOUND,0.0,4000,50,50,0,0,0,9.0460248062163,0.31380200367255623,0.08698147770074184,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
AMNoiseGaiJam,ORACLE_UPPER_BOUND,10.0,1000,50,50,0,0,0,16.853965748706102,0.6683626671004169,0.18526067948586364,1.0,-8.685846209437572e-05,0.0,0.0,1.0,0.0
AMNoiseGaiJam,ORACLE_UPPER_BOUND,10.0,1500,50,50,0,0,0,16.699071590329627,0.45387090137417313,0.12580659532081198,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
AMNoiseGaiJam,ORACLE_UPPER_BOUND,10.0,2500,50,50,0,0,0,17.95867899348799,0.3742405361477361,0.10373418419474176,1.0,-8.68584620963044e-05,0.0,0.0,1.0,0.0
AMNoiseGaiJam,ORACLE_UPPER_BOUND,10.0,3500,50,50,0,0,0,17.96324958898888,0.37140332342664373,0.1029477489516785,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
AMNoiseGaiJam,ORACLE_UPPER_BOUND,10.0,4000,50,50,0,0,0,17.94388067407342,0.38121829543084196,0.10566832039011778,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
AMNoiseGaiJam,ORACLE_UPPER_BOUND,20.0,1000,50,50,0,0,0,24.83822458355118,1.4538331856756688,0.40298199928768014,1.0,-8.685846209437572e-05,0.0,0.0,1.0,0.0
AMNoiseGaiJam,ORACLE_UPPER_BOUND,20.0,1500,50,50,0,0,0,24.391960322595896,0.8429908070318324,0.23366513032301056,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
AMNoiseGaiJam,ORACLE_UPPER_BOUND,20.0,2500,50,50,0,0,0,27.83075150366982,0.3820795792682721,0.1059070560897713,1.0,-8.68584620963044e-05,0.0,0.0,1.0,0.0
AMNoiseGaiJam,ORACLE_UPPER_BOUND,20.0,3500,50,50,0,0,0,27.83565013590718,0.3805235965324638,0.10547575967976279,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
AMNoiseGaiJam,ORACLE_UPPER_BOUND,20.0,4000,50,50,0,0,0,27.81591524551444,0.3897165381388615,0.1080239130885456,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
AMNoiseGaiJam,ORACLE_UPPER_BOUND,30.0,1000,50,50,0,0,0,29.40852773754152,1.718599663756966,0.47637152274388866,1.0,-8.685846209437572e-05,0.0,0.0,1.0,0.0
AMNoiseGaiJam,ORACLE_UPPER_BOUND,30.0,1500,50,50,0,0,0,29.545495765483487,1.499666281383272,0.41568628525650647,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
AMNoiseGaiJam,ORACLE_UPPER_BOUND,30.0,2500,50,50,0,0,0,37.81755049588203,0.3823569778553332,0.10598394705519626,1.0,-8.68584620963044e-05,0.0,0.0,1.0,0.0
AMNoiseGaiJam,ORACLE_UPPER_BOUND,30.0,3500,50,50,0,0,0,37.822511170466186,0.38119882455463605,0.10566292333858625,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
AMNoiseGaiJam,ORACLE_UPPER_BOUND,30.0,4000,50,50,0,0,0,37.802737863097754,0.390300774007764,0.10818585500927325,1.0,-8.68584620991974e-05,0.0,0.0,1.0,0.0
FMNoiseAimedJam,FROZEN_REJECTION_CONFIRMATION,0.0,1000,50,50,0,0,0,10.41441123569216,0.5036190081354665,0.1395960669885163,1.0,-8.68588530327097e-06,0.0,0.06,0.9446536863494862,0.0
FMNoiseAimedJam,FROZEN_REJECTION_CONFIRMATION,0.0,1500,50,50,0,0,0,10.440498880841073,0.5468233540723421,0.15157170069608444,1.0,-8.685885305199628e-06,0.0,0.02,0.9420234232535885,0.0
FMNoiseAimedJam,FROZEN_REJECTION_CONFIRMATION,0.0,2500,50,50,0,0,0,10.53287876407475,0.3904490581895593,0.10822695728746538,1.0,-8.685885305199628e-06,0.0,0.0,0.9138339622985697,0.0
FMNoiseAimedJam,FROZEN_REJECTION_CONFIRMATION,0.0,3500,50,50,0,0,0,10.523845860533747,0.3766585346988095,0.10440441919830815,1.0,-8.685885305199628e-06,0.0,0.0,0.9141488314259777,0.0
FMNoiseAimedJam,FROZEN_REJECTION_CONFIRMATION,0.0,4000,50,50,0,0,0,10.522799847644892,0.3959666119633556,0.1097563451655584,1.0,-8.685885306163955e-06,0.0,0.0,0.9140536205530772,0.0
FMNoiseAimedJam,FROZEN_REJECTION_CONFIRMATION,10.0,1000,50,50,0,0,0,17.65089720402128,6.023391661139534,1.6695989870190329,0.92,-8.68588530327097e-06,0.1,0.6444444444444445,0.7627697537223256,0.0
FMNoiseAimedJam,FROZEN_REJECTION_CONFIRMATION,10.0,1500,50,50,0,0,0,18.272641654201628,4.751181098565441,1.3169602103888618,0.94,-8.685885305199628e-06,0.06,0.5531914893617021,0.7906211772710493,0.0
FMNoiseAimedJam,FROZEN_REJECTION_CONFIRMATION,10.0,2500,50,50,0,0,0,0.0,0.0,0.0,1.0,-8.685885305199628e-06,1.0,nan,0.0,0.0
FMNoiseAimedJam,FROZEN_REJECTION_CONFIRMATION,10.0,3500,50,50,0,0,0,0.0,0.0,0.0,1.0,-8.685885305199628e-06,1.0,nan,0.0,0.0
FMNoiseAimedJam,FROZEN_REJECTION_CONFIRMATION,10.0,4000,50,50,0,0,0,0.0,0.0,0.0,1.0,-8.685885306163955e-06,1.0,nan,0.0,0.0
FMNoiseAimedJam,FROZEN_REJECTION_CONFIRMATION,20.0,1000,50,50,0,0,0,0.0,0.0,0.0,0.0,-8.68588530327097e-06,1.0,nan,0.0,0.0
FMNoiseAimedJam,FROZEN_REJECTION_CONFIRMATION,20.0,1500,50,50,0,0,0,0.0,0.0,0.0,0.06,-8.685885305199628e-06,1.0,nan,0.0,0.0
FMNoiseAimedJam,FROZEN_REJECTION_CONFIRMATION,20.0,2500,50,50,0,0,0,0.0,0.0,0.0,1.0,-8.685885305199628e-06,1.0,nan,0.0,0.0
FMNoiseAimedJam,FROZEN_REJECTION_CONFIRMATION,20.0,3500,50,50,0,0,0,0.0,0.0,0.0,1.0,-8.685885305199628e-06,1.0,nan,0.0,0.0
FMNoiseAimedJam,FROZEN_REJECTION_CONFIRMATION,20.0,4000,50,50,0,0,0,0.0,0.0,0.0,1.0,-8.685885306163955e-06,1.0,nan,0.0,0.0
FMNoiseAimedJam,FROZEN_REJECTION_CONFIRMATION,30.0,1000,50,50,0,0,0,0.0,0.0,0.0,0.0,-8.68588530327097e-06,1.0,nan,0.0,0.0
FMNoiseAimedJam,FROZEN_REJECTION_CONFIRMATION,30.0,1500,50,50,0,0,0,0.0,0.0,0.0,0.0,-8.685885305199628e-06,1.0,nan,0.0,0.0
FMNoiseAimedJam,FROZEN_REJECTION_CONFIRMATION,30.0,2500,50,50,0,0,0,0.0,0.0,0.0,1.0,-8.685885305199628e-06,1.0,nan,0.0,0.0
FMNoiseAimedJam,FROZEN_REJECTION_CONFIRMATION,30.0,3500,50,50,0,0,0,0.0,0.0,0.0,1.0,-8.685885305199628e-06,1.0,nan,0.0,0.0
FMNoiseAimedJam,FROZEN_REJECTION_CONFIRMATION,30.0,4000,50,50,0,0,0,0.0,0.0,0.0,1.0,-8.685885306163955e-06,1.0,nan,0.0,0.0
FMNoiseAimedJam,IDENTITY_BASELINE,0.0,1000,50,50,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0
FMNoiseAimedJam,IDENTITY_BASELINE,0.0,1500,50,50,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0
FMNoiseAimedJam,IDENTITY_BASELINE,0.0,2500,50,50,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,nan,1.0,0.0
