jammer,algorithm,jsr_db,seed,interface_ok,oracle_target_idx_passed,oracle_jammer_info_passed,sinr_before_db,sinr_after_db,delta_sinr_db,detected_before,detected_after,peak_index_before,peak_index_after,peak_error_before,peak_error_after,range_error_before_m,range_error_after_m,target_peak_loss_db,false_peak_count_before,false_peak_count_after,true_false_peak_ratio_before,true_false_peak_ratio_after,max_false_peak_db_before,max_false_peak_db_after,runtime_ms,memory_usage_bytes,reference_peak_index
NoiseProductJamming,WLN,30.0,45,True,False,False,10.352507413651772,10.05656583380086,-0.2959415798509113,False,False,1380,1380,120,120,360.0,360.0,0.2785108637337002,2,2,0.005919914220842511,0.01559384935636948,-44.55369172258437,-36.14093331152,2.1077910205349326,838949,1500
NoiseProductJamming,FDC,30.0,45,True,False,False,10.352507413651772,10.493705653754812,0.14119824010304072,False,False,1380,1380,120,120,360.0,360.0,-0.14284001852500028,2,2,0.005919914220842511,0.0057354131472998615,-44.55369172258437,-44.82870584948302,0.26170798810198903,967165,1500
NoiseProductJamming,adapt_filter,30.0,45,True,False,False,10.352507413651772,40.14942065087749,29.796913237225716,False,True,1380,1501,120,1,360.0,3.0,-12.20138556595737,2,187,0.005919914220842511,8.114117236183177e-17,-44.55369172258437,-321.8151744343356,23.48499995423481,400241136,1500
NoiseProductJamming,FrFT,30.0,45,True,False,False,10.352507413651772,10.613869268965201,0.2613618553134298,False,False,1380,1380,120,120,360.0,360.0,0.05452288081329026,2,1,0.005919914220842511,0.00448626633427229,-44.55369172258437,-46.96229894822493,36.13650001352653,1129934,1500
NoiseProductJamming,qpzh,30.0,45,True,False,False,10.352507413651772,-0.1971776638441566,-10.549685077495928,False,False,1380,1380,120,120,360.0,360.0,-22.34929941935893,2,2,0.005919914220842511,22.743264888587195,-44.55369172258437,27.137056191483087,0.8358749910257757,482266,1500
NoiseProductJamming,Identity,30.0,46,True,False,False,9.248232711204725,9.248232711204725,0.0,False,False,1252,1252,248,248,744.0,744.0,-1.9286549331065743e-15,1,1,0.0043262825857785445,0.0043262825857785445,-47.27770233115129,-47.27770233115129,0.0027919886633753777,80096,1500
NoiseProductJamming,WLN,30.0,46,True,False,False,9.248232711204725,11.312700591065353,2.0644678798606275,False,False,1252,1252,248,248,744.0,744.0,2.2950366609979453,1,1,0.0043262825857785445,0.008895673817819628,-47.27770233115129,-41.016422999318905,2.107959007844329,838723,1500
NoiseProductJamming,FDC,30.0,46,True,False,False,9.248232711204725,9.248232711204725,0.0,False,False,1252,1252,248,248,744.0,744.0,-1.9286549331065743e-15,1,1,0.0043262825857785445,0.0043262825857785184,-47.27770233115129,-47.27770233115134,0.27379102539271116,967165,1500
NoiseProductJamming,adapt_filter,30.0,46,True,False,False,9.248232711204725,40.1494206508775,30.901187939672777,False,True,1252,1501,248,1,744.0,3.0,-9.925060701382638,1,215,0.0043262825857785445,7.701379296392079e-17,-47.27770233115129,-322.2686297376743,23.560874979011714,400241136,1500
NoiseProductJamming,FrFT,30.0,46,True,False,False,9.248232711204725,9.061026506987227,-0.18720620421749778,False,False,1252,1252,248,248,744.0,744.0,-0.3769191260578272,1,1,0.0043262825857785445,0.004518152024432306,-47.27770233115129,-46.90078320509358,36.45383403636515,1129934,1500
