candidate_id,jammer,jsr_db,trials,interface_pass,interface_failures,oracle_input_failures,target_erased_count,delta_sinr_mean_db,delta_sinr_std_db,delta_sinr_ci95_db,pd_identity,pd_algorithm,position_spread_db,fallback_ratio,estimation_error_mean,target_only_change_db,confidence_mean,runtime_mean_ms
A_k3_c0.8_r0.001,FMNoiseAimedJam,20.0,100,100,0,0,0,0.0,0.0,0.0,0.6,0.6,0.0,1.0,nan,-8.685885305006762e-06,0.0,0.31933541118633
A_k3_c0.8_r0.001,FMNoiseAimedJam,30.0,100,100,0,0,0,0.0,0.0,0.0,0.6,0.6,0.0,1.0,nan,-8.685885305006762e-06,0.0,0.32189499877858907
A_k3_c0.8_r0.001,NoJammer,0.0,100,100,0,0,0,4.6591480497757685,0.15027551314107948,0.02945400057565158,1.0,1.0,0.09456945724967447,0.0,0.0,-8.685885305006762e-06,0.9786008919228439,0.4731874755816534
A_k3_c0.8_r0.001,NoJammer,10.0,100,100,0,0,0,4.6591480497757685,0.15027551314107948,0.02945400057565158,1.0,1.0,0.09456945724967447,0.0,0.0,-8.685885305006762e-06,0.9786008919228439,0.49289591086562723
A_k3_c0.8_r0.001,NoJammer,20.0,100,100,0,0,0,4.6591480497757685,0.15027551314107948,0.02945400057565158,1.0,1.0,0.09456945724967447,0.0,0.0,-8.685885305006762e-06,0.9786008919228439,0.4707392054842785
A_k3_c0.8_r0.001,NoJammer,30.0,100,100,0,0,0,4.6591480497757685,0.15027551314107948,0.02945400057565158,1.0,1.0,0.09456945724967447,0.0,0.0,-8.685885305006762e-06,0.9786008919228439,0.4738304333295673
A_k3_c0.8_r0.001,NoiseConvolutionJamming,0.0,100,100,0,0,0,13.319561270384947,0.6464400004536717,0.12670224008891964,1.0,1.0,0.04246003187595626,0.0,0.14,-8.685885305006762e-06,0.9205594620623969,0.46762251236941665
A_k3_c0.8_r0.001,NoiseConvolutionJamming,10.0,100,100,0,0,0,8.135321479044467,10.259516148667293,2.0108651651387897,0.45,0.58,2.2793084973544087,0.61,0.8717948717948718,-8.685885305006762e-06,0.3260328469464578,0.37712129997089505
A_k3_c0.8_r0.001,NoiseConvolutionJamming,20.0,100,100,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,nan,-8.685885305006762e-06,0.0,0.31887292221654207
A_k3_c0.8_r0.001,NoiseConvolutionJamming,30.0,100,100,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,nan,-8.685885305006762e-06,0.0,0.33109871263150126
A_k3_c0.8_r0.001,NoiseProductJamming,0.0,100,100,0,0,0,12.122700841385635,0.7577879814208967,0.14852644435849574,1.0,1.0,0.048588015831558806,0.0,0.19,-8.685885305006762e-06,0.9384657749517281,0.4710487829288468
A_k3_c0.8_r0.001,NoiseProductJamming,10.0,100,100,0,0,0,17.017420708131183,8.097891654144904,1.5871867642124013,0.51,0.87,1.0971944566962613,0.18,0.975609756097561,-8.685885305006762e-06,0.6912849392012699,0.4447537427768111
A_k3_c0.8_r0.001,NoiseProductJamming,20.0,100,100,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,nan,-8.685885305006762e-06,0.0,0.32462411443702877
A_k3_c0.8_r0.001,NoiseProductJamming,30.0,100,100,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,nan,-8.685885305006762e-06,0.0,0.32219420769251883
A_k3_c0.8_r0.001,SMSP,0.0,100,100,0,0,0,13.360529941794788,0.11643816830688836,0.022821880988150117,1.0,1.0,0.21991398308951204,0.0,0.0,-8.685885305006762e-06,0.8994888218048663,0.4659316811012104
A_k3_c0.8_r0.001,SMSP,10.0,100,100,0,0,0,0.0,0.0,0.0,0.8,0.8,0.0,1.0,nan,-8.685885305006762e-06,0.0,0.3191370703279972
A_k3_c0.8_r0.001,SMSP,20.0,100,100,0,0,0,0.0,0.0,0.0,0.6,0.6,0.0,1.0,nan,-8.685885305006762e-06,0.0,0.31863379292190075
A_k3_c0.8_r0.001,SMSP,30.0,100,100,0,0,0,0.0,0.0,0.0,0.6,0.6,0.0,1.0,nan,-8.685885305006762e-06,0.0,0.318238771869801
