jammer,jsr_db,selection_metric,metric_scope,n,mean,std,ci95_low,ci95_high,min,q25,median,q75,max
AMNoiseGaiJam,30.0,peak,SUPPLEMENTARY_DIAGNOSTIC,150,1.3816000000000002,0.8205106283742873,1.250290951954237,1.5129090480457634,0.07999999999999996,0.09999999999999998,1.9,1.9,1.9
AMNoiseGaiJam,30.0,topk,SUPPLEMENTARY_DIAGNOSTIC,150,1.6133333333333333,0.6880247641347219,1.5032264393014505,1.723440227365216,0.07999999999999996,1.92,1.92,1.92,1.92
FMNoiseAimedJam,0.0,entropy,SUPPLEMENTARY_DIAGNOSTIC,150,1.8,0.602010055881586,1.7036583261469609,1.8963416738530392,0.0,2.0,2.0,2.0,2.0
FMNoiseAimedJam,0.0,peak,SUPPLEMENTARY_DIAGNOSTIC,150,1.5469333333333335,0.7162242034584468,1.4323135891262384,1.6615530775404286,0.020000000000000018,1.8399999999999999,1.9,1.9,1.9
FMNoiseAimedJam,0.0,topk,SUPPLEMENTARY_DIAGNOSTIC,150,1.5334666666666668,0.7526614849731377,1.4130157429676626,1.6539175903656709,0.019999999999999907,1.9,1.92,1.92,1.92
FMNoiseAimedJam,10.0,entropy,SUPPLEMENTARY_DIAGNOSTIC,150,1.6533333333333333,0.7596066331572318,1.5317709544440448,1.7748957122226219,0.0,2.0,2.0,2.0,2.0
FMNoiseAimedJam,10.0,peak,SUPPLEMENTARY_DIAGNOSTIC,150,1.5589333333333335,0.7068363647496063,1.44581595621502,1.672050710451647,0.020000000000000018,1.8399999999999999,1.9,1.9,1.9
FMNoiseAimedJam,10.0,topk,SUPPLEMENTARY_DIAGNOSTIC,150,1.5825333333333333,0.715103772134996,1.4680928954818115,1.6969737711848552,0.019999999999999907,1.9,1.92,1.92,1.92
FMNoiseAimedJam,20.0,entropy,SUPPLEMENTARY_DIAGNOSTIC,150,1.76,0.6521003751945394,1.6556422055534663,1.8643577944465337,0.0,2.0,2.0,2.0,2.0
FMNoiseAimedJam,20.0,peak,SUPPLEMENTARY_DIAGNOSTIC,150,1.5589333333333335,0.7068363647496063,1.44581595621502,1.672050710451647,0.020000000000000018,1.8399999999999999,1.9,1.9,1.9
FMNoiseAimedJam,20.0,topk,SUPPLEMENTARY_DIAGNOSTIC,150,1.5089333333333335,0.7695742278494144,1.3857758070747417,1.6320908595919252,0.019999999999999907,1.88,1.92,1.92,1.92
FMNoiseAimedJam,30.0,entropy,SUPPLEMENTARY_DIAGNOSTIC,150,1.72,0.6962989406606193,1.6085689619468133,1.8314310380531866,0.0,2.0,2.0,2.0,2.0
FMNoiseAimedJam,30.0,peak,SUPPLEMENTARY_DIAGNOSTIC,150,1.5709333333333335,0.6971142306389133,1.4593718217101175,1.6824948449565496,0.020000000000000018,1.8449999999999998,1.9,1.9,1.9
FMNoiseAimedJam,30.0,topk,SUPPLEMENTARY_DIAGNOSTIC,150,1.5702666666666667,0.7249891891502849,1.4542442326131153,1.686289100720218,0.019999999999999907,1.9,1.92,1.92,1.92
FMNoiseSaopin,0.0,entropy,FORMAL_TARGET_JAMMERS,150,1.7106666666666668,0.6530575138003515,1.6061556981419058,1.8151776351914277,0.0,1.98,2.0,2.0,2.0
FMNoiseSaopin,0.0,peak,FORMAL_TARGET_JAMMERS,150,1.6446666666666667,0.5267013552985962,1.5603768949354913,1.7289564383978422,0.05999999999999994,1.58,1.9,1.9,1.9
FMNoiseSaopin,0.0,topk,FORMAL_TARGET_JAMMERS,150,1.7026666666666666,0.47075359642371434,1.6273304010865455,1.7780029322467876,0.07999999999999996,1.85,1.92,1.92,1.92
FMNoiseSaopin,10.0,entropy,FORMAL_TARGET_JAMMERS,150,1.6973333333333334,0.6673705456417421,1.590531802662576,1.8041348640040906,0.0,1.98,2.0,2.0,2.0
FMNoiseSaopin,10.0,peak,FORMAL_TARGET_JAMMERS,150,1.6086666666666667,0.5681875891510869,1.5177377147886504,1.699595618544683,0.05999999999999994,1.56,1.9,1.9,1.9
FMNoiseSaopin,10.0,topk,FORMAL_TARGET_JAMMERS,150,1.7026666666666666,0.47075359642371434,1.6273304010865455,1.7780029322467876,0.07999999999999996,1.85,1.92,1.92,1.92
FMNoiseSaopin,20.0,entropy,FORMAL_TARGET_JAMMERS,150,1.7506666666666668,0.6063319872373579,1.6536333397473293,1.8476999935860043,0.0,2.0,2.0,2.0,2.0
FMNoiseSaopin,20.0,peak,FORMAL_TARGET_JAMMERS,150,1.6446666666666667,0.5267013552985962,1.5603768949354913,1.7289564383978422,0.05999999999999994,1.58,1.9,1.9,1.9
