jammer,jsr_db,selection_metric,target_position,metric_scope,n,mean,std,ci95_low,ci95_high,min,q25,median,q75,max
FMNoiseAimedJam,0.0,entropy,4000,SUPPLEMENTARY_DIAGNOSTIC,30,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
FMNoiseAimedJam,0.0,peak,1000,SUPPLEMENTARY_DIAGNOSTIC,30,1.0266666666666666,0.9148029120067841,0.6993086488226808,1.3540246845106525,0.020000000000000018,0.06499999999999995,1.79,1.88,1.9
FMNoiseAimedJam,0.0,peak,1500,SUPPLEMENTARY_DIAGNOSTIC,30,1.008,0.9118318054220912,0.6817051789928441,1.334294821007156,0.020000000000000018,0.05999999999999994,1.8,1.8399999999999999,1.9
FMNoiseAimedJam,0.0,peak,2500,SUPPLEMENTARY_DIAGNOSTIC,30,1.8999999999999995,4.516810283266961e-16,1.8999999999999992,1.8999999999999997,1.9,1.9,1.9,1.9,1.9
FMNoiseAimedJam,0.0,peak,3500,SUPPLEMENTARY_DIAGNOSTIC,30,1.8999999999999995,4.516810283266961e-16,1.8999999999999992,1.8999999999999997,1.9,1.9,1.9,1.9,1.9
FMNoiseAimedJam,0.0,peak,4000,SUPPLEMENTARY_DIAGNOSTIC,30,1.8999999999999995,4.516810283266961e-16,1.8999999999999992,1.8999999999999997,1.9,1.9,1.9,1.9,1.9
FMNoiseAimedJam,0.0,topk,1000,SUPPLEMENTARY_DIAGNOSTIC,30,1.0439999999999998,0.9363229622599097,0.70894113107399,1.3790588689260095,0.019999999999999907,0.05999999999999994,1.88,1.92,1.92
FMNoiseAimedJam,0.0,topk,1500,SUPPLEMENTARY_DIAGNOSTIC,30,0.863333333333333,0.9262022320814413,0.5318961211892079,1.194770545477458,0.05999999999999994,0.05999999999999994,0.07999999999999996,1.9,1.92
FMNoiseAimedJam,0.0,topk,2500,SUPPLEMENTARY_DIAGNOSTIC,30,1.9200000000000004,4.516810283266961e-16,1.9200000000000002,1.9200000000000006,1.92,1.92,1.92,1.92,1.92
FMNoiseAimedJam,0.0,topk,3500,SUPPLEMENTARY_DIAGNOSTIC,30,1.9200000000000004,4.516810283266961e-16,1.9200000000000002,1.9200000000000006,1.92,1.92,1.92,1.92,1.92
FMNoiseAimedJam,0.0,topk,4000,SUPPLEMENTARY_DIAGNOSTIC,30,1.9200000000000004,4.516810283266961e-16,1.9200000000000002,1.9200000000000006,1.92,1.92,1.92,1.92,1.92
FMNoiseAimedJam,10.0,entropy,1000,SUPPLEMENTARY_DIAGNOSTIC,30,1.1333333333333333,1.0080138659874616,0.7726202039828428,1.4940464626838237,0.0,0.0,2.0,2.0,2.0
FMNoiseAimedJam,10.0,entropy,1500,SUPPLEMENTARY_DIAGNOSTIC,30,1.1333333333333333,1.0080138659874616,0.7726202039828428,1.4940464626838237,0.0,0.0,2.0,2.0,2.0
FMNoiseAimedJam,10.0,entropy,2500,SUPPLEMENTARY_DIAGNOSTIC,30,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
FMNoiseAimedJam,10.0,entropy,3500,SUPPLEMENTARY_DIAGNOSTIC,30,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
FMNoiseAimedJam,10.0,entropy,4000,SUPPLEMENTARY_DIAGNOSTIC,30,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
FMNoiseAimedJam,10.0,peak,1000,SUPPLEMENTARY_DIAGNOSTIC,30,1.0866666666666664,0.9109499904261876,0.7606873991031816,1.4126459342301514,0.020000000000000018,0.06499999999999995,1.8199999999999998,1.88,1.9
FMNoiseAimedJam,10.0,peak,1500,SUPPLEMENTARY_DIAGNOSTIC,30,1.008,0.9118318054220912,0.6817051789928441,1.334294821007156,0.020000000000000018,0.05999999999999994,1.8,1.8399999999999999,1.9
FMNoiseAimedJam,10.0,peak,2500,SUPPLEMENTARY_DIAGNOSTIC,30,1.8999999999999995,4.516810283266961e-16,1.8999999999999992,1.8999999999999997,1.9,1.9,1.9,1.9,1.9
FMNoiseAimedJam,10.0,peak,3500,SUPPLEMENTARY_DIAGNOSTIC,30,1.8999999999999995,4.516810283266961e-16,1.8999999999999992,1.8999999999999997,1.9,1.9,1.9,1.9,1.9
FMNoiseAimedJam,10.0,peak,4000,SUPPLEMENTARY_DIAGNOSTIC,30,1.8999999999999995,4.516810283266961e-16,1.8999999999999992,1.8999999999999997,1.9,1.9,1.9,1.9,1.9
