Jammer,Algorithm,JSR_dB,Trials,InterfacePassRate,Pd_before,Pd_after,MeanDeltaSINR_dB,DeltaSINR_std_dB,DeltaSINR_ci95_dB,MeanPeakError_before,MeanPeakError_after,MeanFalsePeak_before,MeanFalsePeak_after,MeanWindowPeakChange_dB,MeanCleanTargetLoss_dB,CleanTargetLoss_std_dB,CleanTargetLoss_ci95_dB,Pd_after_ci95,MeanRuntime_ms,Conclusion
FMNoiseAimedJam,qpzh,20.0,20,1.0,0.1,0.35,-0.7924260866566032,4.574681183012238,2.0049424277184857,242.2,241.9,0.4,0.9,-6.557957691618675,-4.7650387453569945,5.852407859561969,2.5649308339827823,0.21447168872174688,0.7806730514857918,Conditional
FMNoiseAimedJam,Identity,30.0,20,1.0,0.05,0.05,0.0,0.0,0.0,364.3,364.3,0.4,0.4,-3.5197952529194987e-15,5.0803084721390865,4.882877533435531,2.1400154337513966,0.09799999999999998,0.0027916044928133488,Baseline
FMNoiseAimedJam,WLN,30.0,20,1.0,0.05,0.1,1.546767818125242,0.6701416806982619,0.29370254110906535,364.3,322.05,0.4,0.25,3.5178455681985072,8.628716340099398,4.4358608808880655,1.9441017478059712,0.1348964515158903,2.1178208000492305,Recommended
FMNoiseAimedJam,FDC,30.0,20,1.0,0.05,0.05,0.0029387649874120124,0.07218739415804964,0.03163752040937016,364.3,364.3,0.4,0.4,-0.07149093567091021,5.001760933979878,4.885201881936687,2.141034124396785,0.09799999999999998,0.2642687613843009,Neutral
FMNoiseAimedJam,adapt_filter,30.0,20,1.0,0.05,1.0,31.89562565779412,3.334906832991438,1.4615873619306892,364.3,1.0,0.4,446.35,-2.9173858609960126,4.699926050940229,4.688430991589645,2.0547954793821934,0.0,23.507787243579514,Recommended
FMNoiseAimedJam,FrFT,30.0,20,1.0,0.05,0.05,-0.2961926870165946,0.4094334351868795,0.17944211469446691,364.3,364.2,0.4,0.4,-0.5318584849619805,4.52919264745808,4.929100517353991,2.1602735496476493,0.09799999999999998,38.002508255885914,Conditional
FMNoiseAimedJam,qpzh,30.0,20,1.0,0.05,0.0,-8.150067641077138,6.212817574745484,2.7228873560715114,364.3,364.05,0.4,1.35,-15.562159325242188,-8.232727074342618,3.401599097614201,1.49081653563559,0.0,0.815529256942682,Harmful/Not demonstrated
FMNoiseSaopin,Identity,0.0,20,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.45,0.45,-8.678947198979587e-15,0.012983233571473029,0.05837412818903607,0.025583589676562383,0.0,0.002776953624561429,Baseline
FMNoiseSaopin,WLN,0.0,20,1.0,1.0,1.0,0.2615401563548104,1.2241271516298136,0.5364973787329013,0.0,0.0,0.45,0.45,2.3780820356287533,2.3910652692002357,0.3267654573149474,0.14321127594998553,0.0,2.1524146432057023,Neutral
FMNoiseSaopin,FDC,0.0,20,1.0,1.0,1.0,0.00025743065722103606,0.0011512648980782038,0.0005045640881535971,0.0,0.0,0.45,0.45,-0.003247097597007633,0.009736135974473984,0.055188939365910177,0.0241876191255447,0.0,0.26353334833402187,Neutral
