jammer,algorithm,jsr_db,seed,jammer_contract_status,jammer_comparable,requested_jsr_db,measured_jsr_db,jsr_error_db,jsr_status,legacy_components_available,interface_status,oracle_input_status,forbidden_keys_present,delta_sinr_db,pd_identity,pd_algorithm,peak_error_identity,peak_error_algorithm,false_peak_identity,false_peak_algorithm,target_only_response_change_db,target_preservation_status,runtime_ms,memory_usage_bytes,max_false_peak_db_after
FMZuse,Current_WLN,10.0,1009,UNIFIED_JSR_PASS,True,10.0,9.999999999999998,-1.7763568394002505e-15,unified/pass,True,PASS,PASS,,1.1800654215460433,1.0,1.0,0,0,0,0,1.7542552869168084,TARGET_PRESERVED,2.2997080232016742,839252,-inf
FMZuse,Current_WLN,10.0,1010,UNIFIED_JSR_PASS,True,10.0,10.0,0.0,unified/pass,True,PASS,PASS,,1.2177199561696206,1.0,1.0,1,1,0,0,1.7542552869168084,TARGET_PRESERVED,2.2790830116719007,839334,-inf
FMZuse,Current_WLN,10.0,1011,UNIFIED_JSR_PASS,True,10.0,10.0,0.0,unified/pass,True,PASS,PASS,,1.0672525066795906,1.0,1.0,0,0,1,1,1.7542552869168084,TARGET_PRESERVED,2.4937079870142043,839646,-31.917496141623502
FMZuse,Current_WLN,10.0,1012,UNIFIED_JSR_PASS,True,10.0,10.0,0.0,unified/pass,True,PASS,PASS,,1.2393086846044703,1.0,1.0,0,0,0,0,1.7542552869168084,TARGET_PRESERVED,2.091082977131009,839669,-inf
FMZuse,Current_WLN,10.0,1013,UNIFIED_JSR_PASS,True,10.0,9.999999999999998,-1.7763568394002505e-15,unified/pass,True,PASS,PASS,,1.0970414808506206,1.0,1.0,0,0,1,0,1.7542552869168084,TARGET_PRESERVED,2.07687501097098,839481,-inf
FMZuse,Current_WLN,10.0,1014,UNIFIED_JSR_PASS,True,10.0,10.0,0.0,unified/pass,True,PASS,PASS,,1.1422609494992848,1.0,1.0,0,0,1,0,1.7542552869168084,TARGET_PRESERVED,2.073707990348339,839327,-inf
FMZuse,Current_WLN,10.0,1015,UNIFIED_JSR_PASS,True,10.0,9.999999999999998,-1.7763568394002505e-15,unified/pass,True,PASS,PASS,,1.1808721690555224,1.0,1.0,0,0,0,0,1.7542552869168084,TARGET_PRESERVED,2.086416003294289,839467,-inf
FMZuse,Current_WLN,10.0,1016,UNIFIED_JSR_PASS,True,10.0,10.0,0.0,unified/pass,True,PASS,PASS,,1.159939826725573,1.0,1.0,0,0,1,1,1.7542552869168084,TARGET_PRESERVED,2.0300420001149178,839386,-26.86300110981243
FMZuse,Current_WLN,10.0,1017,UNIFIED_JSR_PASS,True,10.0,10.0,0.0,unified/pass,True,PASS,PASS,,1.1314751437028292,1.0,1.0,0,0,0,0,1.7542552869168084,TARGET_PRESERVED,2.1483329473994672,839324,-inf
FMZuse,Current_WLN,10.0,1018,UNIFIED_JSR_PASS,True,10.0,10.0,0.0,unified/pass,True,PASS,PASS,,0.9699368336386165,1.0,1.0,0,0,1,2,1.7542552869168084,TARGET_PRESERVED,2.033374970778823,839374,-20.600324632114248
FMZuse,Current_WLN,10.0,1019,UNIFIED_JSR_PASS,True,10.0,9.999999999999998,-1.7763568394002505e-15,unified/pass,True,PASS,PASS,,1.2256519700188342,1.0,1.0,0,0,2,2,1.7542552869168084,TARGET_PRESERVED,2.094124967698008,839424,-26.911415527420065
FMZuse,Current_WLN,20.0,1000,UNIFIED_JSR_PASS,True,20.0,19.999999999999996,-3.552713678800501e-15,unified/pass,True,PASS,PASS,,2.851186507952285,1.0,1.0,1,0,0,1,1.7542552869168084,TARGET_PRESERVED,2.2617499926127493,839506,-32.28142510921022
FMZuse,Current_WLN,20.0,1001,UNIFIED_JSR_PASS,True,20.0,20.0,0.0,unified/pass,True,PASS,PASS,,2.852576950951768,1.0,1.0,0,0,0,0,1.7542552869168084,TARGET_PRESERVED,2.3010000004433095,839293,-inf
FMZuse,Current_WLN,20.0,1002,UNIFIED_JSR_PASS,True,20.0,20.0,0.0,unified/pass,True,PASS,PASS,,3.2469540266999566,1.0,1.0,1,1,0,0,1.7542552869168084,TARGET_PRESERVED,2.096832962706685,839261,-inf
FMZuse,Current_WLN,20.0,1003,UNIFIED_JSR_PASS,True,20.0,20.0,0.0,unified/pass,True,PASS,PASS,,2.885015652342158,0.0,0.0,0,1,0,0,1.7542552869168084,TARGET_PRESERVED,2.317250007763505,839346,-inf
FMZuse,Current_WLN,20.0,1004,UNIFIED_JSR_PASS,True,20.0,19.999999999999996,-3.552713678800501e-15,unified/pass,True,PASS,PASS,,2.81327010129926,1.0,0.0,0,0,2,1,1.7542552869168084,TARGET_PRESERVED,2.19595804810524,839204,-28.98573032339815
FMZuse,Current_WLN,20.0,1005,UNIFIED_JSR_PASS,True,20.0,20.0,0.0,unified/pass,True,PASS,PASS,,3.508251847354506,1.0,0.0,0,0,1,1,1.7542552869168084,TARGET_PRESERVED,2.2417500149458647,839417,-30.320855208241888
FMZuse,Current_WLN,20.0,1006,UNIFIED_JSR_PASS,True,20.0,20.0,0.0,unified/pass,True,PASS,PASS,,3.125016305448824,0.0,0.0,1,1,0,0,1.7542552869168084,TARGET_PRESERVED,2.2360000293701887,839314,-inf
FMZuse,Current_WLN,20.0,1007,UNIFIED_JSR_PASS,True,20.0,20.0,0.0,unified/pass,True,PASS,PASS,,2.619379916948553,1.0,1.0,1,1,1,1,1.7542552869168084,TARGET_PRESERVED,2.104249957483262,839342,-33.70076142499367
FMZuse,Current_WLN,20.0,1008,UNIFIED_JSR_PASS,True,20.0,20.0,0.0,unified/pass,True,PASS,PASS,,2.1237453038893257,1.0,1.0,0,0,0,0,1.7542552869168084,TARGET_PRESERVED,2.0853749592788517,839324,-inf
FMZuse,Current_WLN,20.0,1009,UNIFIED_JSR_PASS,True,20.0,20.0,0.0,unified/pass,True,PASS,PASS,,2.7947404630214088,1.0,1.0,1,1,0,0,1.7542552869168084,TARGET_PRESERVED,2.07408401183784,839247,-inf
FMZuse,Current_WLN,20.0,1010,UNIFIED_JSR_PASS,True,20.0,19.999999999999996,-3.552713678800501e-15,unified/pass,True,PASS,PASS,,2.9258401221153854,1.0,1.0,2,2,0,0,1.7542552869168084,TARGET_PRESERVED,2.1935830009169877,839388,-inf
FMZuse,Current_WLN,20.0,1011,UNIFIED_JSR_PASS,True,20.0,20.0,0.0,unified/pass,True,PASS,PASS,,2.567897719521696,0.0,1.0,1,1,1,1,1.7542552869168084,TARGET_PRESERVED,2.042250009253621,839425,-33.15508926447602
FMZuse,Current_WLN,20.0,1012,UNIFIED_JSR_PASS,True,20.0,20.0,0.0,unified/pass,True,PASS,PASS,,2.810095484248375,0.0,1.0,1,1,0,0,1.7542552869168084,TARGET_PRESERVED,2.1565830102190375,839416,-inf
FMZuse,Current_WLN,20.0,1013,UNIFIED_JSR_PASS,True,20.0,20.0,0.0,unified/pass,True,PASS,PASS,,2.510136987685229,0.0,1.0,1,1,1,0,1.7542552869168084,TARGET_PRESERVED,2.2451250115409493,839303,-inf
FMZuse,Current_WLN,20.0,1014,UNIFIED_JSR_PASS,True,20.0,20.0,0.0,unified/pass,True,PASS,PASS,,2.6836961150366108,1.0,1.0,1,0,1,0,1.7542552869168084,TARGET_PRESERVED,2.0921670366078615,839460,-inf
FMZuse,Current_WLN,20.0,1015,UNIFIED_JSR_PASS,True,20.0,19.999999999999996,-3.552713678800501e-15,unified/pass,True,PASS,PASS,,3.8294724563879914,0.0,0.0,781,0,0,0,1.7542552869168084,TARGET_PRESERVED,2.308333001565188,839520,-inf
FMZuse,Current_WLN,20.0,1016,UNIFIED_JSR_PASS,True,20.0,19.999999999999996,-3.552713678800501e-15,unified/pass,True,PASS,PASS,,3.0637528512226915,0.0,0.0,0,0,1,1,1.7542552869168084,TARGET_PRESERVED,2.4058340350165963,839391,-27.032594948493063
FMZuse,Current_WLN,20.0,1017,UNIFIED_JSR_PASS,True,20.0,19.999999999999996,-3.552713678800501e-15,unified/pass,True,PASS,PASS,,3.6299041026072345,0.0,0.0,1,0,0,0,1.7542552869168084,TARGET_PRESERVED,2.489584032446146,839433,-inf
FMZuse,Current_WLN,20.0,1018,UNIFIED_JSR_PASS,True,20.0,20.0,0.0,unified/pass,True,PASS,PASS,,2.1491706830737876,0.0,1.0,0,0,1,1,1.7542552869168084,TARGET_PRESERVED,2.2295830422081053,839194,-29.23552997430341
FMZuse,Current_WLN,20.0,1019,UNIFIED_JSR_PASS,True,20.0,19.999999999999996,-3.552713678800501e-15,unified/pass,True,PASS,PASS,,2.881371072372943,1.0,0.0,1,0,2,2,1.7542552869168084,TARGET_PRESERVED,2.2375829867087305,839358,-27.349582721996004
FMZuse,Current_WLN,30.0,1000,UNIFIED_JSR_PASS,True,30.0,30.0,0.0,unified/pass,True,PASS,PASS,,3.392466936536561,0.0,0.0,135,135,0,1,1.7542552869168084,TARGET_PRESERVED,2.2657079971395433,839462,-33.21866085221889
FMZuse,Current_WLN,30.0,1001,UNIFIED_JSR_PASS,True,30.0,30.0,0.0,unified/pass,True,PASS,PASS,,3.4310436542809644,0.0,0.0,389,389,0,0,1.7542552869168084,TARGET_PRESERVED,2.1606659865938127,839399,-inf
FMZuse,Current_WLN,30.0,1002,UNIFIED_JSR_PASS,True,30.0,30.0,0.0,unified/pass,True,PASS,PASS,,4.157441879740146,0.0,0.0,778,780,0,0,1.7542552869168084,TARGET_PRESERVED,2.096625044941902,839397,-inf
FMZuse,Current_WLN,30.0,1003,UNIFIED_JSR_PASS,True,30.0,30.0,0.0,unified/pass,True,PASS,PASS,,3.5397864453293444,0.0,0.0,309,309,0,0,1.7542552869168084,TARGET_PRESERVED,2.1587079972960055,839543,-inf
FMZuse,Current_WLN,30.0,1004,UNIFIED_JSR_PASS,True,30.0,30.0,0.0,unified/pass,True,PASS,PASS,,3.02842403522311,0.0,0.0,434,434,2,1,1.7542552869168084,TARGET_PRESERVED,2.128791995346546,839153,-29.153270081588882
FMZuse,Current_WLN,30.0,1005,UNIFIED_JSR_PASS,True,30.0,30.0,0.0,unified/pass,True,PASS,PASS,,4.270698313193506,0.0,0.0,433,434,1,1,1.7542552869168084,TARGET_PRESERVED,2.1447500330395997,839465,-28.294000626403264
FMZuse,Current_WLN,30.0,1006,UNIFIED_JSR_PASS,True,30.0,30.0,0.0,unified/pass,True,PASS,PASS,,2.785985272905334,0.0,0.0,323,5,0,0,1.7542552869168084,TARGET_PRESERVED,2.141915960237384,839511,-inf
FMZuse,Current_WLN,30.0,1007,UNIFIED_JSR_PASS,True,30.0,30.0,0.0,unified/pass,True,PASS,PASS,,2.4569410193618904,0.0,1.0,1,2,1,1,1.7542552869168084,TARGET_PRESERVED,2.0787910325452685,839403,-36.99774758695864
