jammer,algorithm,jsr_db,seed,interface_ok,oracle_target_idx_passed,oracle_jammer_info_passed,sinr_before_db,sinr_after_db,delta_sinr_db,detected_before,detected_after,peak_index_before,peak_index_after,peak_error_before,peak_error_after,range_error_before_m,range_error_after_m,target_window_peak_change_db,processed_reference_response_vs_clean_db,false_peak_count_before,false_peak_count_after,false_true_peak_ratio_before,false_true_peak_ratio_after,max_false_peak_db_before,max_false_peak_db_after,runtime_ms,memory_usage_bytes,reference_peak_index,cfar_reference_cells_min,cfar_reference_cells_max,target_only_response_change_db,target_only_reference_peak_index
FMZuse,adapt_filter,0.0,46,True,False,False,34.140791100479525,40.14942065087749,6.008629550397963,True,True,1500,1501,0,1,0.0,3.0,-0.18998642165758334,-0.3786788824572255,3,454,0.024192762166317848,8.234461395164498e-17,-32.32629087988387,-321.6872960434432,60.83162495633587,400321888,1500,20,40,-0.2875765247524093,1500
FMZuse,FrFT,0.0,46,True,False,False,34.140791100479525,33.85912328553505,-0.2816678149444769,True,True,1500,1500,0,0,0.0,0.0,-0.36100138005405824,-0.4150189582554765,3,3,0.024192762166317848,0.0252194450064137,-32.32629087988387,-31.965289499829822,74.92758397711441,1210724,1500,20,40,-0.3374184101833674,1500
FMZuse,qpzh,0.0,46,True,False,False,34.140791100479525,35.428327099692936,1.2875359992134108,True,True,1500,1500,0,0,0.0,0.0,-0.03530691021889852,-0.08932448842031628,3,3,0.024192762166317848,0.02429130245585345,-32.32629087988387,-32.290983969664985,1.6798329888843,683480,1500,20,40,-8.678947198979587e-15,1500
FMZuse,Identity,0.0,47,True,False,False,34.13059030746961,34.13059030746961,0.0,True,True,1500,1500,0,0,0.0,0.0,-8.678947198979587e-15,0.08399365802569704,2,2,0.01888790809134207,0.01888790809134207,-34.47632278406741,-34.47632278406741,0.3890420193783939,682966,1500,20,40,-8.678947198979587e-15,1500
FMZuse,WLN,0.0,47,True,False,False,34.13059030746961,33.10838182578978,-1.022208481679833,True,True,1500,1500,0,0,0.0,0.0,2.113812598917177,2.197806256942884,2,1,0.01888790809134207,0.03050807900251376,-34.47632278406741,-30.311702753001363,4.5519580016843975,938058,1500,20,40,1.7542552869168084,1500
FMZuse,FDC,0.0,47,True,False,False,34.13059030746961,34.13059030746961,0.0,True,True,1500,1500,0,0,0.0,0.0,-7.7146197324263e-15,0.08399365802569894,2,2,0.01888790809134207,0.01888790809134206,-34.47632278406741,-34.47632278406742,0.8907089941203594,1047837,1500,20,40,-8.678947198979587e-15,1500
FMZuse,adapt_filter,0.0,47,True,False,False,34.13059030746961,40.14942065087749,6.018830343407878,True,True,1500,1501,0,1,0.0,3.0,-0.1642150403695552,-0.21489626494207276,2,449,0.01888790809134207,7.893991319223088e-17,-34.47632278406741,-322.05406711040774,64.25191601738334,400321888,1500,20,40,-0.2875765247524093,1500
FMZuse,FrFT,0.0,47,True,False,False,34.13059030746961,33.931743501747206,-0.19884680572240399,True,True,1500,1500,0,0,0.0,0.0,-0.3386262845391864,-0.25463262651348045,2,2,0.01888790809134207,0.019638810296043883,-34.47632278406741,-34.137696499528246,83.29095796216279,1210770,1500,20,40,-0.3374184101833674,1500
FMZuse,qpzh,0.0,47,True,False,False,34.13059030746961,35.752690552173824,1.6221002447042139,True,True,1500,1500,0,0,0.0,0.0,-0.1127138497145953,-0.028720191688889597,2,3,0.01888790809134207,0.02158521272397378,-34.47632278406741,-33.316873339605046,2.0699999877251685,683434,1500,20,40,-8.678947198979587e-15,1500
FMZuse,Identity,0.0,48,True,False,False,34.76973831521843,34.76973831521843,0.0,True,True,1500,1500,0,0,0.0,0.0,-7.7146197324263e-15,0.22453452916461913,0,0,0.0,0.0,-inf,-inf,0.42929203482344747,683012,1500,20,40,-8.678947198979587e-15,1500
FMZuse,WLN,0.0,48,True,False,False,34.76973831521843,33.5430072861807,-1.2267310290377296,True,True,1500,1500,0,0,0.0,0.0,2.0630099503611694,2.287544479525796,0,0,0.0,0.0,-inf,-inf,5.169750016648322,938188,1500,20,40,1.7542552869168084,1500
FMZuse,FDC,0.0,48,True,False,False,34.76973831521843,34.76973831521843,0.0,True,True,1500,1500,0,0,0.0,0.0,-7.7146197324263e-15,0.22453452916461913,0,0,0.0,0.0,-inf,-inf,0.9984159842133522,1047837,1500,20,40,-8.678947198979587e-15,1500
FMZuse,adapt_filter,0.0,48,True,False,False,34.76973831521843,40.14942065087749,5.379682335659055,True,True,1500,1501,0,1,0.0,3.0,-0.15889103330310184,-0.06903138673669779,0,445,0.0,1.057588762978001e-16,-inf,-319.5136634454171,61.693458002991974,400321888,1500,20,40,-0.2875765247524093,1500
FMZuse,FrFT,0.0,48,True,False,False,34.76973831521843,34.542582198129,-0.22715611708943584,True,True,1500,1500,0,0,0.0,0.0,-0.33116151505009916,-0.10662698588547212,0,0,0.0,0.0,-inf,-inf,79.68054199591279,1210770,1500,20,40,-0.3374184101833674,1500
FMZuse,qpzh,0.0,48,True,False,False,34.76973831521843,35.69951352027636,0.9297752050579291,True,True,1500,1500,0,0,0.0,0.0,0.054251105014348704,0.2787856341789771,0,0,0.0,0.0,-inf,-inf,1.7162919975817204,683450,1500,20,40,-8.678947198979587e-15,1500
FMZuse,Identity,0.0,49,True,False,False,34.52275790057563,34.52275790057563,0.0,True,True,1500,1500,0,0,0.0,0.0,-8.678947198979587e-15,-0.10853229669763173,0,0,0.0,0.0,-inf,-inf,0.4444160149432719,682966,1500,20,40,-8.678947198979587e-15,1500
FMZuse,WLN,0.0,49,True,False,False,34.52275790057563,33.310078958669884,-1.212678941905743,True,True,1500,1500,0,0,0.0,0.0,2.06244331326379,1.9539110165661673,0,0,0.0,0.0,-inf,-inf,4.975374962668866,937885,1500,20,40,1.7542552869168084,1500
FMZuse,FDC,0.0,49,True,False,False,34.52275790057563,34.52275790057563,0.0,True,True,1500,1500,0,0,0.0,0.0,-7.7146197324263e-15,-0.10853229669763073,0,0,0.0,0.0,-inf,-inf,0.9557910379953682,1047882,1500,20,40,-8.678947198979587e-15,1500
FMZuse,adapt_filter,0.0,49,True,False,False,34.52275790057563,40.14942065087749,5.626662750301861,True,True,1500,1501,0,1,0.0,3.0,-0.18768690036975721,-0.43089407966560467,0,439,0.0,8.329769404123878e-17,-inf,-321.58734042301126,59.69666701275855,400321888,1500,20,40,-0.2875765247524093,1500
FMZuse,FrFT,0.0,49,True,False,False,34.52275790057563,34.236912494096885,-0.28584540647874235,True,True,1500,1500,0,0,0.0,0.0,-0.35825753200672694,-0.4667898287043498,0,0,0.0,0.0,-inf,-inf,77.9844579519704,1210724,1500,20,40,-0.3374184101833674,1500
FMZuse,qpzh,0.0,49,True,False,False,34.52275790057563,35.78799318577849,1.2652352852028628,True,True,1500,1500,0,0,0.0,0.0,0.014591628597040347,-0.09394066810058169,0,0,0.0,0.0,-inf,-inf,1.746124995406717,683434,1500,20,40,-8.678947198979587e-15,1500
FMZuse,Identity,0.0,50,True,False,False,33.89482095294602,33.89482095294602,0.0,True,True,1500,1500,0,0,0.0,0.0,-8.678947198979587e-15,-0.12631898329433128,1,1,0.016787881026169942,0.016787881026169942,-35.50008234491857,-35.50008234491857,0.40395901305601,683012,1500,20,40,-8.678947198979587e-15,1500
FMZuse,WLN,0.0,50,True,False,False,33.89482095294602,32.74189759313597,-1.1529233598100532,True,True,1500,1500,0,0,0.0,0.0,2.0853952951063928,1.9590763118120704,1,1,0.016787881026169942,0.025437912647150382,-35.50008234491857,-31.89037056724657,4.908916016574949,937680,1500,20,40,1.7542552869168084,1500
FMZuse,FDC,0.0,50,True,False,False,33.89482095294602,33.89482095294602,0.0,True,True,1500,1500,0,0,0.0,0.0,-8.678947198979587e-15,-0.12631898329433128,1,1,0.016787881026169942,0.01678788102616996,-35.50008234491857,-35.50008234491856,0.9511670214124024,1047882,1500,20,40,-8.678947198979587e-15,1500
FMZuse,adapt_filter,0.0,50,True,False,False,33.89482095294602,40.14942065087749,6.254599697931468,True,True,1500,1501,0,1,0.0,3.0,-0.1592319878755821,-0.42022585376813204,1,459,0.016787881026169942,1.1158476670258753e-16,-35.50008234491857,-319.0479018048451,60.62629201915115,400321888,1500,20,40,-0.2875765247524093,1500
FMZuse,FrFT,0.0,50,True,False,False,33.89482095294602,33.626548278415115,-0.2682726745309054,True,True,1500,1500,0,0,0.0,0.0,-0.33930914875423057,-0.4656281320485534,1,1,0.016787881026169942,0.017456667511171663,-35.50008234491857,-35.16077319616435,78.48537497920915,1210724,1500,20,40,-0.3374184101833674,1500
FMZuse,qpzh,0.0,50,True,False,False,33.89482095294602,35.18690874903632,1.2920877960903,True,True,1500,1500,0,0,0.0,0.0,0.01349854982995992,-0.11282043346436249,1,1,0.016787881026169942,0.016761811612121265,-35.50008234491857,-35.513580894748536,1.7442500102333724,683480,1500,20,40,-8.678947198979587e-15,1500
FMZuse,Identity,0.0,51,True,False,False,34.11760497585865,34.11760497585865,0.0,True,True,1500,1500,0,0,0.0,0.0,-8.678947198979587e-15,-0.14552749835364795,0,0,0.0,0.0,-inf,-inf,0.4062090301886201,682966,1500,20,40,-8.678947198979587e-15,1500
