Jammer,Algorithm,JSR_dB,Trials,InterfacePassRate,Pd_before,Pd_after,MeanDeltaSINR_dB,DeltaSINR_std_dB,DeltaSINR_ci95_dB,MeanPeakError_before,MeanPeakError_after,MeanFalsePeak_before,MeanFalsePeak_after,MeanWindowPeakChange_dB,MeanReferenceResponseVsClean_dB,MeanTargetOnlyResponseChange_dB,TargetOnlyResponseChange_std_dB,TargetOnlyResponseChange_ci95_dB,Pd_after_ci95,MeanRuntime_ms,Conclusion
FMNoiseAimedJam,FDC,30.0,20,1.0,0.05,0.05,0.0029387649874120124,0.07218739415804964,0.03163752040937016,364.3,364.3,0.4,0.4,-0.07149093567091021,5.001760933979878,-8.678947198979587e-15,0.0,0.0,0.09799999999999998,1.0970915551297367,Neutral
FMNoiseAimedJam,adapt_filter,30.0,20,1.0,0.05,1.0,31.89562565779412,3.334906832991438,1.4615873619306892,364.3,1.0,0.4,446.35,-2.9173858609960126,4.699926050940229,-0.28757652475240925,5.695323946259567e-17,2.4960857735528752e-17,0.0,61.038333250326104,Blocked oracle-risk
FMNoiseAimedJam,FrFT,30.0,20,1.0,0.05,0.05,-0.2961926870165946,0.4094334351868795,0.17944211469446691,364.3,364.2,0.4,0.4,-0.5318584849619805,4.52919264745808,-0.33741841018336743,5.695323946259567e-17,2.4960857735528752e-17,0.09799999999999998,85.60214795579668,Conditional
FMNoiseAimedJam,qpzh,30.0,20,1.0,0.05,0.0,-8.150067641077138,6.212817574745484,2.7228873560715114,364.3,364.05,0.4,1.35,-15.562159325242188,-8.232727074342618,-8.678947198979587e-15,0.0,0.0,0.0,2.0037791022332385,Harmful/Not demonstrated
FMNoiseSaopin,Identity,0.0,20,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.45,0.45,-8.678947198979587e-15,0.012983233571473029,-8.678947198979587e-15,0.0,0.0,0.0,0.4464728990569711,Baseline
FMNoiseSaopin,WLN,0.0,20,1.0,1.0,1.0,0.2615401563548104,1.2241271516298136,0.5364973787329013,0.0,0.0,0.45,0.45,2.3780820356287533,2.3910652692002357,1.7542552869168084,0.0,0.0,0.0,5.377366789616644,Neutral
FMNoiseSaopin,FDC,0.0,20,1.0,1.0,1.0,0.00025743065722103606,0.0011512648980782038,0.0005045640881535971,0.0,0.0,0.45,0.45,-0.003247097597007633,0.009736135974473984,-8.678947198979587e-15,0.0,0.0,0.0,1.0707397013902664,Neutral
FMNoiseSaopin,adapt_filter,0.0,20,1.0,1.0,1.0,7.926712247873285,2.737676854878862,1.1998397833956445,0.0,1.0,0.45,446.15,-0.15048657905097182,-0.2721782280777148,-0.28757652475240925,5.695323946259567e-17,2.4960857735528752e-17,0.0,60.110193901346065,Blocked oracle-risk
FMNoiseSaopin,FrFT,0.0,20,1.0,1.0,1.0,-0.3126518071717969,0.05547661332467463,0.024313697796866842,0.0,0.0,0.45,0.4,-0.3367086549729528,-0.3237254214014709,-0.33741841018336743,5.695323946259567e-17,2.4960857735528752e-17,0.0,81.53132488951087,Conditional
FMNoiseSaopin,qpzh,0.0,20,1.0,1.0,1.0,0.0672632645439318,0.11615774327552914,0.050908375575102235,0.0,0.0,0.45,0.45,0.0012392096952022725,0.014222443266683916,-8.678947198979587e-15,0.0,0.0,0.0,1.7681852943496779,Neutral
FMNoiseSaopin,Identity,10.0,20,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,-8.678947198979587e-15,0.014158074871887688,-8.678947198979587e-15,0.0,0.0,0.0,0.414754098164849,Baseline
FMNoiseSaopin,WLN,10.0,20,1.0,1.0,1.0,4.639528705445284,2.6326203345693893,1.1537967333008972,0.0,0.0,0.5,0.5,4.516345961983073,4.5305040368549685,1.7542552869168084,0.0,0.0,0.0,4.940620795241557,Recommended
FMNoiseSaopin,FDC,10.0,20,1.0,1.0,1.0,0.0018108666144716068,0.0038972151287207024,0.0017080298383489762,0.0,0.0,0.5,0.5,-0.02625428124131073,-0.012096206369414171,-8.678947198979587e-15,0.0,0.0,0.0,0.9752790007041767,Neutral
FMNoiseSaopin,adapt_filter,10.0,20,1.0,1.0,1.0,15.206966667478927,5.723011018920931,2.508220168160357,0.0,1.0,0.5,446.45,-0.150071846390878,-0.2705886541172058,-0.28757652475240925,5.695323946259567e-17,2.4960857735528752e-17,0.0,68.82803954940755,Blocked oracle-risk
FMNoiseSaopin,FrFT,10.0,20,1.0,1.0,1.0,-0.3172310250288296,0.051474828123117815,0.02255983810342823,0.0,0.0,0.5,0.45,-0.3349220676112438,-0.3207639927393474,-0.33741841018336743,5.695323946259567e-17,2.4960857735528752e-17,0.0,79.38267285353504,Conditional
