Jammer,Algorithm,DeltaSINR_dB,Pd_before,Pd_after,PeakError_before,PeakError_after,FalsePeak_before,FalsePeak_after,DeltaSINR_std_dB,DeltaSINR_ci95_dB,WindowPeakChange_dB,ReferenceResponseVsClean_dB,TargetOnlyResponseChange_dB,TargetOnlyResponseChange_ci95_dB,Pd_after_ci95,Conclusion
FMNoiseSaopin,adapt_filter,20.331921170016393,1.0,1.0,242.3875,1.0,0.425,446.9125,11.582622880837626,2.538154147691143,-0.15347522426510934,-0.2644620419682,-0.28757652475240925,1.2241165224885534e-17,0.0,Blocked oracle-risk
FMNoiseSaopin,FrFT,-0.09095063817465482,1.0,0.9875,242.3875,220.7375,0.425,0.375,0.5243837975706243,0.11491066613140566,-0.3409501130694127,-0.3172620481742788,-0.3374184101833673,1.2241165224885534e-17,0.024499999999999997,Harmful/Not demonstrated
FMNoiseSaopin,qpzh,3.3408099639645386,1.0,0.95,242.3875,156.3125,0.425,0.575,7.484618508310657,1.6401393454830988,-0.1982447721884276,-0.1745567072932937,-8.678947198979587e-15,0.0,0.04806061573482103,Harmful/Not demonstrated
AMNoiseGaiJam,Identity,0.0,0.5125,0.5125,78.8625,78.8625,0.325,0.325,0.0,0.0,-5.773910705987808e-15,3.167125562989335,-8.678947198979587e-15,0.0,0.11022415308838002,Baseline
AMNoiseGaiJam,WLN,1.3147114692753514,0.5125,0.6375,78.8625,19.9875,0.325,0.45,1.1075652589922658,0.24270593844513888,3.357668999964125,6.554065614659467,1.7542552869168087,4.8964660899542137e-17,0.10600750809330392,Recommended
AMNoiseGaiJam,FDC,0.04568377316946222,0.5125,0.6125,78.8625,100.325,0.325,0.55,0.4072519059803425,0.0892430086823631,-2.2848618424591516,0.8715865778916296,-8.678947198979587e-15,0.0,0.10743144708503562,Neutral
AMNoiseGaiJam,adapt_filter,19.61520460716714,0.5125,1.0,78.8625,1.0,0.325,448.5375,8.089429163435618,1.7726743238439069,-0.06985197786804682,3.0164442617665363,-0.28757652475240925,1.2241165224885534e-17,0.0,Blocked oracle-risk
AMNoiseGaiJam,FrFT,-0.06812103515134454,0.5125,0.5125,78.8625,78.875,0.325,0.4,0.23911918941551835,0.052399302701259226,-0.4474139943870036,2.7134603416643257,-0.3374184101833673,1.2241165224885534e-17,0.11022415308838002,Neutral
AMNoiseGaiJam,qpzh,0.011950223787087466,0.5125,0.55,78.8625,80.2625,0.325,0.325,5.798904072305857,1.2707408826662725,-3.0753880000054967,0.01605015587053853,-8.678947198979587e-15,0.0,0.109705936052081,Neutral
SMSP,Identity,0.0,0.2875,0.2875,259.2625,259.2625,0.5,0.5,0.0,0.0,-7.7146197324263e-15,0.5333736806114692,-8.678947198979587e-15,0.0,0.09980536438235005,Baseline
SMSP,WLN,1.336605070844529,0.2875,0.25,259.2625,259.625,0.5,0.45,1.1482132134448728,0.2516133141967687,3.3021476521384763,3.3501185748199065,1.7542552869168087,4.8964660899542137e-17,0.09548676096185975,Harmful/Not demonstrated
SMSP,FDC,-4.884981308350689e-16,0.2875,0.2875,259.2625,259.2625,0.5,0.5,1.9423059829879047e-15,4.2562656468441945e-16,-7.063698692502832e-15,0.5333736806114702,-8.678947198979587e-15,0.0,0.09980536438235005,Neutral
SMSP,adapt_filter,25.9993637822883,0.2875,1.0,259.2625,1.0,0.5,447.3375,8.101152612509372,1.7752433378917547,-2.0405458067444693,-0.23316242574254042,-0.28757652475240925,1.2241165224885534e-17,0.0,Blocked oracle-risk
SMSP,FrFT,0.007113708191443224,0.2875,0.25,259.2625,259.4625,0.5,0.475,0.9071992067630257,0.1987987913546892,-0.7811485899436723,-0.7311607448112951,-0.3374184101833673,1.2241165224885534e-17,0.09548676096185975,Harmful/Not demonstrated
SMSP,qpzh,0.9757523527010041,0.2875,0.5,259.2625,259.1,0.5,0.5125,2.9305771801767184,0.6421910392421095,-3.9425930919610197,-3.2425626065413793,-8.678947198979587e-15,0.0,0.11025861429075033,Recommended
NoiseProductJamming,Identity,0.0,0.2875,0.2875,75.0875,75.0875,0.3875,0.3875,0.0,0.0,-5.725694332660144e-15,3.064872904600519,-8.678947198979587e-15,0.0,0.09980536438235005,Baseline
NoiseProductJamming,WLN,1.8801148088760988,0.2875,0.35,75.0875,53.4,0.3875,0.3375,1.1887880125697616,0.2605046590804004,2.40054016915173,5.925229905011361,1.7542552869168087,4.8964660899542137e-17,0.10518001446585741,Recommended
NoiseProductJamming,FDC,-0.02060894143998122,0.2875,0.2875,75.0875,75.075,0.3875,0.3625,0.15337658816826505,0.033610126775520596,-0.32311590349055674,2.801609425281093,-8.678947198979587e-15,0.0,0.09980536438235005,Conditional
NoiseProductJamming,adapt_filter,22.286697968258313,0.2875,1.0,75.0875,1.0,0.3875,448.4625,6.99025578604922,1.5318073375362935,-1.3597250940217263,2.9178455502704734,-0.28757652475240925,1.2241165224885534e-17,0.0,Blocked oracle-risk
NoiseProductJamming,FrFT,-0.050500093426946745,0.2875,0.2625,75.0875,75.025,0.3875,0.375,0.15148149858972837,0.033194846961656775,-0.25334211891657277,2.786970424781913,-0.3374184101833673,1.2241165224885534e-17,0.09702601438972143,Harmful/Not demonstrated
NoiseProductJamming,qpzh,3.8233561501608313,0.2875,0.525,75.0875,74.6,0.3875,0.6125,11.10914733554271,2.4343992442047484,-8.233150554755898,-5.2274267883478185,-8.678947198979587e-15,0.0,0.11012070477550152,Recommended
NoiseConvolutionJamming,Identity,0.0,0.3125,0.3125,174.7,174.7,0.25,0.25,0.0,0.0,-6.400723559247447e-15,1.4600774514678234,-8.678947198979587e-15,0.0,0.10221247106154087,Baseline
NoiseConvolutionJamming,WLN,1.3981858698422247,0.3125,0.35,174.7,148.4,0.25,0.3,0.9841140701251423,0.21565350392455368,3.296761906267114,4.939645425887233,1.7542552869168087,4.8964660899542137e-17,0.10518001446585741,Recommended
NoiseConvolutionJamming,FDC,2.9420910152566647e-16,0.3125,0.3125,174.7,174.7,0.25,0.25,1.6705355629384076e-15,3.6607224560099342e-16,-5.159151946060089e-15,1.4600774514678236,-8.678947198979587e-15,0.0,0.10221247106154087,Neutral
NoiseConvolutionJamming,adapt_filter,24.480119653647883,0.3125,1.0,174.7,1.0,0.25,447.95,7.52292490473628,1.6485336047084123,-2.334874157237607,1.1378658180201005,-0.28757652475240925,1.2241165224885534e-17,0.0,Blocked oracle-risk
NoiseConvolutionJamming,FrFT,-0.22383880925457564,0.3125,0.275,174.7,189.625,0.25,0.2625,0.209679690056474,0.04594808796580153,-0.38080964011886836,1.1545267222837505,-0.3374184101833673,1.2241165224885534e-17,0.09846409099356919,Harmful/Not demonstrated
NoiseConvolutionJamming,qpzh,-1.4859221982962094,0.3125,0.4375,174.7,174.6375,0.25,0.5625,5.860420434790042,1.284221249954102,-5.06351770519626,-2.443250549831265,-8.678947198979587e-15,0.0,0.10939382749346914,Conditional
