jammer,algorithm,role,jsr_db,target_position,trials,interface_pass,oracle_input_failures,target_erased_count,fallback_count,delta_sinr_mean_db,delta_sinr_std_db,delta_sinr_ci95_db,target_only_change_mean_db,pd_after,estimation_error_mean,confidence_mean,runtime_mean_ms,memory_mean_bytes
FMNoiseAimedJam,Identity,IDENTITY_BASELINE,30.0,500,50,50,0,0,50,0.0,0.0,0.0,-8.678947198979586e-15,0.0,nan,1.0,0.0,0.0
FMNoiseAimedJam,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,0.0,1250,50,50,0,0,0,10.332464519017126,0.4734972583136717,0.13124674391291954,-8.685885308092612e-06,1.0,0.98,0.9271614810798249,1.4385832834523171,563906.0
FMNoiseAimedJam,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,0.0,2500,50,50,0,0,0,10.304426574446039,0.47214375168102474,0.13087157101533592,-8.685885305199628e-06,1.0,0.98,0.9271375619462242,1.436425760621205,563906.0
FMNoiseAimedJam,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,0.0,3750,50,50,0,0,0,10.196238585018412,0.47613133715993106,0.1319768733185526,-8.685885305199628e-06,1.0,0.98,0.9271375619462258,1.4491316035855561,563906.0
FMNoiseAimedJam,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,0.0,4500,50,50,0,0,0,10.16702720253188,0.4785513655405767,0.13264767096217103,-8.685885304235298e-06,1.0,0.98,0.9271375619462283,1.4748958381824195,563906.0
FMNoiseAimedJam,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,0.0,500,50,50,0,0,0,7.537719554784408,0.5533663991825454,0.15338534027036183,-8.685885305199628e-06,1.0,0.0,0.9438512541889058,1.4653799985535443,563910.0
FMNoiseAimedJam,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,10.0,1250,50,50,0,0,0,19.43798191251592,1.2550001751876019,0.34786830063205965,-8.685885308092612e-06,1.0,0.94,0.7762862241912589,1.325920798117295,563906.0
FMNoiseAimedJam,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,10.0,2500,50,50,0,0,0,19.470485368077302,1.2492346348354055,0.34627017438140456,-8.685885305199628e-06,1.0,0.94,0.776286224191259,1.3252799795009196,563906.0
FMNoiseAimedJam,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,10.0,3750,50,50,0,0,0,19.457855495373202,1.2493640186673796,0.34630603774991076,-8.685885305199628e-06,1.0,0.94,0.7762862241912601,1.33130420348607,563906.0
FMNoiseAimedJam,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,10.0,4500,50,50,0,0,0,19.491963326727365,1.249457422709221,0.3463319280294102,-8.685885304235298e-06,1.0,0.92,0.7761857107609356,1.3787116413004696,563906.0
FMNoiseAimedJam,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,10.0,500,50,50,0,0,0,15.921049335491535,1.3366969091638745,0.3705134799534627,-8.685885305199628e-06,1.0,0.02,0.8501104321695705,1.3399125402793288,563908.76
FMNoiseAimedJam,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,20.0,1250,50,50,0,0,0,-8.43923327300382,25.7570167351907,7.139480789062783,-8.685885308092612e-06,0.34,236.56,0.5649604806852522,1.5572733397129923,563906.0
FMNoiseAimedJam,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,20.0,2500,50,50,0,0,0,-8.399899546762068,25.76481809488367,7.141643215644601,-8.685885305199628e-06,0.34,236.56,0.5649604806852522,1.5689741831738502,563906.0
FMNoiseAimedJam,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,20.0,3750,50,50,0,0,0,-8.401184727396414,25.764811164153027,7.14164129454408,-8.685885305199628e-06,0.34,236.56,0.5649604806852523,1.5643841412384063,563906.0
FMNoiseAimedJam,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,20.0,4500,50,50,0,0,0,-9.42699907330512,25.44393628845074,7.052699316739661,-8.685885304235298e-06,0.32,242.38,0.5617477229941262,1.608178319875151,563906.0
FMNoiseAimedJam,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,20.0,500,50,50,0,0,0,11.831148427143678,17.99221471124387,4.987187476106881,-8.685885305199628e-06,0.68,37.82,0.6555466919570269,1.5794807416386902,563906.0
FMNoiseAimedJam,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,30.0,1250,50,50,0,0,0,-20.807971180738956,13.934613497440747,3.862477801323547,-8.685885308092612e-06,0.04,347.3,0.5635275802319122,1.4639491529669613,563906.0
FMNoiseAimedJam,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,30.0,2500,50,50,0,0,0,-20.768122916398088,13.940345149959823,3.8640665343460947,-8.685885305199628e-06,0.04,347.3,0.5635275802319121,1.4600250986404717,563906.0
FMNoiseAimedJam,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,30.0,3750,50,50,0,0,0,-20.768251681739574,13.94034556882237,3.864066650448869,-8.685885305199628e-06,0.04,347.3,0.5635275802319122,1.453775861300528,563906.0
FMNoiseAimedJam,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,30.0,4500,50,50,0,0,0,-21.804429668878807,12.288792675505105,3.4062795443105327,-8.685885304235298e-06,0.02,353.2,0.5648080945927965,1.5012858982663602,563906.0
FMNoiseAimedJam,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,30.0,500,50,50,0,0,0,-1.6827241643677797,17.535979600850546,4.860725555480072,-8.685885305199628e-06,0.22,83.42,0.6089976575147363,1.488449004245922,563906.0
FMNoiseAimedJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,0.0,1250,50,50,0,0,0,10.329764631348592,0.4734551656303891,0.13123507641637885,-8.685846209726874e-05,1.0,0.0,1.0,33.118193361442536,400257328.0
FMNoiseAimedJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,0.0,2500,50,50,0,0,0,10.301726686777501,0.47210202614166497,0.13086000528589856,-8.68584620963044e-05,1.0,0.0,1.0,33.093516655499116,400257328.0
FMNoiseAimedJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,0.0,3750,50,50,0,0,0,10.193538697349878,0.47609028047404794,0.13196549298584023,-8.68584620991974e-05,1.0,0.0,1.0,32.94720578240231,400257328.0
FMNoiseAimedJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,0.0,4500,50,50,0,0,0,10.164300846230695,0.4785117115182583,0.13263667942796262,-8.68584620991974e-05,1.0,0.0,1.0,33.10437335399911,400257328.0
FMNoiseAimedJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,0.0,500,50,50,0,0,0,7.537719554784408,0.5533663991825455,0.15338534027036185,-8.68584620991974e-05,1.0,0.0,1.0,32.870286740362644,400257296.0
FMNoiseAimedJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,10.0,1250,50,50,0,0,0,19.436583920354074,1.2550459153975,0.34788097917139565,-8.685846209726874e-05,1.0,0.0,1.0,34.79176583816297,400257328.0
FMNoiseAimedJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,10.0,2500,50,50,0,0,0,19.469087375915468,1.2492839734712207,0.34628385035351655,-8.68584620963044e-05,1.0,0.0,1.0,30.925579958129674,400257328.0
FMNoiseAimedJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,10.0,3750,50,50,0,0,0,19.456457503211357,1.2494134008760573,0.34631972579980413,-8.68584620991974e-05,1.0,0.0,1.0,30.824940798338503,400257328.0
FMNoiseAimedJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,10.0,4500,50,50,0,0,0,19.49060726825297,1.2494715864289299,0.3463358540122134,-8.68584620991974e-05,1.0,0.0,1.0,30.885695095639676,400257328.0
FMNoiseAimedJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,10.0,500,50,50,0,0,0,15.92099369556776,1.3367536311640076,0.3705292024897498,-8.68584620991974e-05,1.0,0.0,1.0,30.641010905383155,400257296.0
FMNoiseAimedJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,20.0,1250,50,50,0,0,0,27.742272450254568,2.3324570360891905,0.6465241053216174,-8.685846209726874e-05,1.0,0.0,1.0,35.606046699685976,400257328.0
FMNoiseAimedJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,20.0,2500,50,50,0,0,0,27.781899726152087,2.324658775443055,0.6443625377517551,-8.68584620963044e-05,1.0,0.0,1.0,35.59458996052854,400257328.0
FMNoiseAimedJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,20.0,3750,50,50,0,0,0,27.780614545517725,2.3246612787992764,0.6443632316466977,-8.68584620991974e-05,1.0,0.0,1.0,35.521153275622055,400257328.0
FMNoiseAimedJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,20.0,4500,50,50,0,0,0,27.822265101574494,2.3246867378711316,0.6443702885413796,-8.68584620991974e-05,1.0,0.0,1.0,35.264820059528574,400257328.0
FMNoiseAimedJam,adapt_filter_oracle,ORACLE_UPPER_BOUND,20.0,500,50,50,0,0,0,24.179146339255222,2.4956002368041132,0.6917450934253774,-8.68584620991974e-05,1.0,0.0,1.0,35.31100084190257,400257296.0
