jammer,jsr_db,seed,target_position,algorithm,role,candidate_id,true_target_idx_for_evaluation_only,estimated_target_idx,estimation_error_for_evaluation_only,estimator_confidence,fallback,fit_status,oracle_input_status,forbidden_keys_present,interface_status,runtime_ms,memory_usage_bytes,exception_type,exception_message,delta_sinr_db,detected_before,detected_after,peak_error_before,peak_error_after,false_peak_count_before,false_peak_count_after,target_window_peak_change_db,target_only_response_change_db,target_preservation_status
NoiseProductJamming,0.0,8001,4500,Identity,IDENTITY_BASELINE,,4500,,,1.0,Identity,IDENTITY,PASS,,PASS,0.0,0,,,0.0,True,True,1,1,4,4,-7.7146197324263e-15,-8.678947198979587e-15,TARGET_PRESERVED
NoiseProductJamming,0.0,8001,4500,adapt_filter_oracle,ORACLE_UPPER_BOUND,,4500,4500,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,target_idx,PASS,56.14316702121869,400257328,,,12.227565855152967,True,True,1,0,4,16,-0.2342348999632598,-8.685846209919741e-05,TARGET_PRESERVED
NoiseProductJamming,0.0,8001,4500,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,A_k3_c0.05_r0.001,4500,4499,1,0.8972841923268644,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,PASS,2.7367500006221235,563906,,,12.230347851378667,True,True,1,1,4,9,-8.685885302306642e-06,-8.685885304235298e-06,TARGET_PRESERVED
NoiseProductJamming,0.0,8002,500,Identity,IDENTITY_BASELINE,,500,,,1.0,Identity,IDENTITY,PASS,,PASS,0.0,0,,,0.0,True,True,1,1,86,86,-7.7146197324263e-15,-8.678947198979587e-15,TARGET_PRESERVED
NoiseProductJamming,0.0,8002,500,adapt_filter_oracle,ORACLE_UPPER_BOUND,,500,500,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,target_idx,PASS,57.18154099304229,400257296,,,11.892630112442227,True,True,1,0,86,627,-0.10997718103865349,-8.685846209919741e-05,TARGET_PRESERVED
NoiseProductJamming,0.0,8002,500,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,A_k3_c0.05_r0.001,500,500,0,0.9392899603825708,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,PASS,2.6907920255325735,563906,,,11.892630112442227,True,True,1,0,86,637,-0.10989900846186243,-8.685885305199628e-06,TARGET_PRESERVED
NoiseProductJamming,0.0,8002,1250,Identity,IDENTITY_BASELINE,,1250,,,1.0,Identity,IDENTITY,PASS,,PASS,0.0,0,,,0.0,True,True,1,1,1,1,-7.7146197324263e-15,-8.678947198979587e-15,TARGET_PRESERVED
NoiseProductJamming,0.0,8002,1250,adapt_filter_oracle,ORACLE_UPPER_BOUND,,1250,1250,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,target_idx,PASS,57.13820899836719,400257328,,,12.124730063505169,True,True,1,0,1,493,-0.10969664713472024,-8.685846209726874e-05,TARGET_PRESERVED
NoiseProductJamming,0.0,8002,1250,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,A_k3_c0.05_r0.001,1250,1249,1,0.8899741692008434,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,PASS,2.647415967658162,563906,,,12.12748505092204,True,True,1,1,1,484,-8.685885300377985e-06,-8.685885308092612e-06,TARGET_PRESERVED
NoiseProductJamming,0.0,8002,2500,Identity,IDENTITY_BASELINE,,2500,,,1.0,Identity,IDENTITY,PASS,,PASS,0.0,0,,,0.0,True,True,1,1,3,3,-7.7146197324263e-15,-8.678947198979587e-15,TARGET_PRESERVED
NoiseProductJamming,0.0,8002,2500,adapt_filter_oracle,ORACLE_UPPER_BOUND,,2500,2500,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,target_idx,PASS,57.54249996971339,400257328,,,12.085698293047813,True,True,1,0,3,275,-0.10969664713472024,-8.68584620963044e-05,TARGET_PRESERVED
NoiseProductJamming,0.0,8002,2500,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,A_k3_c0.05_r0.001,2500,2499,1,0.8899741692008438,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,PASS,3.095625026617199,563906,,,12.088453280464684,True,True,1,1,3,276,-8.685885300377985e-06,-8.685885305199628e-06,TARGET_PRESERVED
NoiseProductJamming,0.0,8002,3750,Identity,IDENTITY_BASELINE,,3750,,,1.0,Identity,IDENTITY,PASS,,PASS,0.0,0,,,0.0,True,True,1,1,4,4,-7.7146197324263e-15,-8.678947198979587e-15,TARGET_PRESERVED
NoiseProductJamming,0.0,8002,3750,adapt_filter_oracle,ORACLE_UPPER_BOUND,,3750,3750,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,target_idx,PASS,57.6773330103606,400257328,,,12.014871472395122,True,True,1,0,4,60,-0.10969664713472024,-8.685846209919741e-05,TARGET_PRESERVED
NoiseProductJamming,0.0,8002,3750,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,A_k3_c0.05_r0.001,3750,3749,1,0.8899741692008452,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,PASS,2.8300840058363974,563906,,,12.017626459811993,True,True,1,1,4,50,-8.685885300377985e-06,-8.685885305199628e-06,TARGET_PRESERVED
NoiseProductJamming,0.0,8002,4500,Identity,IDENTITY_BASELINE,,4500,,,1.0,Identity,IDENTITY,PASS,,PASS,0.0,0,,,0.0,True,True,1,1,3,3,-7.7146197324263e-15,-8.678947198979587e-15,TARGET_PRESERVED
NoiseProductJamming,0.0,8002,4500,adapt_filter_oracle,ORACLE_UPPER_BOUND,,4500,4500,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,target_idx,PASS,57.27304104948416,400257328,,,12.017175906280752,True,True,1,0,3,13,-0.10969664713472024,-8.685846209919741e-05,TARGET_PRESERVED
NoiseProductJamming,0.0,8002,4500,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,A_k3_c0.05_r0.001,4500,4499,1,0.889974169200847,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,PASS,2.7718329802155495,563906,,,12.019957902506452,True,True,1,1,3,13,-8.685885300377985e-06,-8.685885304235298e-06,TARGET_PRESERVED
NoiseProductJamming,0.0,8003,500,Identity,IDENTITY_BASELINE,,500,,,1.0,Identity,IDENTITY,PASS,,PASS,0.0,0,,,0.0,True,True,1,1,81,81,-7.7146197324263e-15,-8.678947198979587e-15,TARGET_PRESERVED
NoiseProductJamming,0.0,8003,500,adapt_filter_oracle,ORACLE_UPPER_BOUND,,500,500,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,target_idx,PASS,57.567749987356365,400257296,,,11.819042937354574,True,True,1,0,81,629,-0.22577099525665154,-8.685846209919741e-05,TARGET_PRESERVED
NoiseProductJamming,0.0,8003,500,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,A_k3_c0.05_r0.001,500,500,0,0.910775854736044,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,PASS,3.016082977410406,563906,,,11.819042937354581,True,True,1,0,81,629,-0.22569282267985627,-8.685885305199628e-06,TARGET_PRESERVED
NoiseProductJamming,0.0,8003,1250,Identity,IDENTITY_BASELINE,,1250,,,1.0,Identity,IDENTITY,PASS,,PASS,0.0,0,,,0.0,True,True,1,1,0,0,-7.7146197324263e-15,-8.678947198979587e-15,TARGET_PRESERVED
NoiseProductJamming,0.0,8003,1250,adapt_filter_oracle,ORACLE_UPPER_BOUND,,1250,1250,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,target_idx,PASS,57.205666962545365,400257328,,,11.981848907866198,True,True,1,0,0,486,-0.2257696585918856,-8.685846209726874e-05,TARGET_PRESERVED
NoiseProductJamming,0.0,8003,1250,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,A_k3_c0.05_r0.001,1250,1249,1,0.9071659178320279,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,PASS,2.7705839602276683,563906,,,11.984603895283069,True,True,1,1,0,493,-8.68588530327097e-06,-8.685885308092612e-06,TARGET_PRESERVED
NoiseProductJamming,0.0,8003,2500,Identity,IDENTITY_BASELINE,,2500,,,1.0,Identity,IDENTITY,PASS,,PASS,0.0,0,,,0.0,True,True,1,1,1,1,-7.7146197324263e-15,-8.678947198979587e-15,TARGET_PRESERVED
NoiseProductJamming,0.0,8003,2500,adapt_filter_oracle,ORACLE_UPPER_BOUND,,2500,2500,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,target_idx,PASS,61.231583007611334,400257328,,,11.943238154930427,True,True,1,0,1,283,-0.2257696585918856,-8.68584620963044e-05,TARGET_PRESERVED
NoiseProductJamming,0.0,8003,2500,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,A_k3_c0.05_r0.001,2500,2499,1,0.9071659178320286,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,PASS,2.80308403307572,563906,,,11.945993142347298,True,True,1,1,1,272,-8.68588530327097e-06,-8.685885305199628e-06,TARGET_PRESERVED
NoiseProductJamming,0.0,8003,3750,Identity,IDENTITY_BASELINE,,3750,,,1.0,Identity,IDENTITY,PASS,,PASS,0.0,0,,,0.0,True,True,1,1,3,3,-7.7146197324263e-15,-8.678947198979587e-15,TARGET_PRESERVED
NoiseProductJamming,0.0,8003,3750,adapt_filter_oracle,ORACLE_UPPER_BOUND,,3750,3750,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,target_idx,PASS,66.22520904056728,400257328,,,11.874060371079839,True,True,1,0,3,55,-0.2257696585918856,-8.685846209919741e-05,TARGET_PRESERVED
NoiseProductJamming,0.0,8003,3750,adapt_filter_fair_frozen,FROZEN_FAIR_REJECTION_CONFIRMATION,A_k3_c0.05_r0.001,3750,3749,1,0.9071659178320297,,FITTED_TOPK_PROTECTED_PROJECTION,PASS,,PASS,2.7562499744817615,563906,,,11.87681535849671,True,True,1,1,3,53,-8.685885305199628e-06,-8.685885305199628e-06,TARGET_PRESERVED
NoiseProductJamming,0.0,8003,4500,Identity,IDENTITY_BASELINE,,4500,,,1.0,Identity,IDENTITY,PASS,,PASS,0.0,0,,,0.0,True,True,1,1,4,4,-7.7146197324263e-15,-8.678947198979587e-15,TARGET_PRESERVED
NoiseProductJamming,0.0,8003,4500,adapt_filter_oracle,ORACLE_UPPER_BOUND,,4500,4500,0,1.0,,LEGACY_ORACLE_TRUE_TARGET_IDX,ORACLE_TRUE_TARGET_IDX,target_idx,PASS,62.8639169735834,400257328,,,11.864486751191464,True,True,1,0,4,11,-0.22576965859188264,-8.685846209919741e-05,TARGET_PRESERVED
