jammer,jsr_db,target_position,trials,fallback_count,confidence_mean,estimation_error_mean,target_erased_count
NoiseProductJamming,30.0,1250,50,0,0.5756586274721834,222.82,0
NoiseProductJamming,30.0,2500,50,0,0.5756586274721834,222.82,0
NoiseProductJamming,30.0,3750,50,0,0.5756586274721834,222.82,0
NoiseProductJamming,30.0,4500,50,0,0.5773659047383597,245.2,0
NoiseProductJamming,30.0,500,50,0,0.5550344831945072,74.34,0
SMSP,0.0,1250,50,0,0.903856866084947,1.04,0
SMSP,0.0,2500,50,0,0.9038568660849475,1.04,0
SMSP,0.0,3750,50,0,0.9038568660849492,1.04,0
SMSP,0.0,4500,50,0,0.9038568660849517,1.04,0
SMSP,0.0,500,50,0,0.9271202712808679,0.0,0
SMSP,10.0,1250,50,0,0.6796927709434154,2.1,0
SMSP,10.0,2500,50,0,0.6796927709434156,2.1,0
SMSP,10.0,3750,50,0,0.6796927709434162,2.1,0
SMSP,10.0,4500,50,0,0.6796927709434176,2.1,0
SMSP,10.0,500,50,0,0.7553691082404994,0.0,0
SMSP,20.0,1250,50,0,0.6199447869317597,519.0,0
SMSP,20.0,2500,50,0,0.6199447869317598,519.0,0
SMSP,20.0,3750,50,0,0.61994478693176,519.0,0
SMSP,20.0,4500,50,0,0.6199447869317605,519.0,0
SMSP,20.0,500,50,0,0.6698580658458303,95.42,0
SMSP,30.0,1250,50,0,0.6194838331376294,519.0,0
SMSP,30.0,2500,50,0,0.6194838331376296,519.0,0
SMSP,30.0,3750,50,0,0.6194838331376296,519.0,0
SMSP,30.0,4500,50,0,0.6194838331376298,519.0,0
SMSP,30.0,500,50,0,0.6704732547910077,96.02,0
